Time,Currency,Impact,Event,Actual,Forecast,Previous,EffectDay,Effect60,Effect30,Effect15
2015-01-05 07:35:00,EUR,High,German Prelim CPI m/m,0.0%,0.1%,0.0%,,,,
2015-01-05 14:00:00,EUR,Medium,Spanish Unemployment Change,-64.4K,-72.0K,-14.7K,,,,
2015-01-05 15:30:00,EUR,Low,Sentix Investor Confidence,0.9,-0.9,-2.5,,,,
2015-01-05 19:00:00,USD,Low,Total Vehicle Sales,16.9M,16.9M,17.2M,,,,
2015-01-06 14:15:00,EUR,Medium,Spanish Services PMI,54.3,52.9,52.7,,,,
2015-01-06 14:45:00,EUR,Medium,Italian Services PMI,49.4,51.4,51.8,,,,
2015-01-06 14:50:00,EUR,Low,French Final Services PMI,50.6,49.8,49.8,,,,
2015-01-06 14:55:00,EUR,Medium,German Final Services PMI,52.1,51.4,51.4,,,,
2015-01-06 15:00:00,EUR,Low,Final Services PMI,51.6,51.9,51.9,,,,
2015-01-06 20:45:00,USD,Low,Final Services PMI,53.3,53.8,53.6,,,,
2015-01-06 21:00:00,USD,High,ISM Services PMI,56.2,58.2,59.3,,,,
2015-01-06 21:00:00,USD,Medium,Factory Orders m/m,-0.7%,-0.3%,-0.7%,,,,
2015-01-07 13:00:00,EUR,Medium,German Retail Sales m/m,1.0%,0.2%,2.0%,,,,
2015-01-07 14:55:00,EUR,Medium,German Unemployment Change,-27K,-6K,-16K,,,,
2015-01-07 15:00:00,EUR,Low,Italian Monthly Unemployment Rate,13.4%,13.3%,13.3%,,,,
2015-01-07 16:00:00,EUR,High,CPI Flash Estimate y/y,-0.2%,0.0%,0.3%,,,,
2015-01-07 16:00:00,EUR,Medium,Core CPI Flash Estimate y/y,0.8%,0.6%,0.7%,,,,
2015-01-07 16:00:00,EUR,Medium,Unemployment Rate,11.5%,11.5%,11.5%,,,,
2015-01-07 16:00:00,EUR,Low,Italian Prelim CPI m/m,0.0%,-0.2%,-0.2%,,,,
2015-01-07 19:15:00,USD,High,ADP Non-Farm Employment Change,241K,227K,227K,,,,
2015-01-07 19:30:00,USD,High,Trade Balance,-39.0B,-42.3B,-42.2B,,,,
2015-01-07 21:30:00,USD,Medium,Crude Oil Inventories,-3.1M,0.9M,-1.8M,,,,
2015-01-08 13:00:00,EUR,Low,German Factory Orders m/m,-2.4%,-0.6%,2.9%,,,,
2015-01-08 16:00:00,EUR,Medium,Retail Sales m/m,0.6%,0.3%,0.6%,,,,
2015-01-08 16:00:00,EUR,Low,PPI m/m,-0.3%,-0.2%,-0.3%,,,,
2015-01-08 19:30:00,USD,High,Unemployment Claims,294K,291K,298K,,,,
2015-01-08 21:30:00,USD,Low,Natural Gas Storage,-131B,-120B,-26B,,,,
2015-01-09 02:00:00,USD,Low,Consumer Credit m/m,14.1B,15.1B,16.0B,,,,
2015-01-09 13:00:00,EUR,Low,German Industrial Production m/m,-0.1%,0.4%,0.6%,,,,
2015-01-09 13:00:00,EUR,Low,German Trade Balance,17.7B,19.4B,20.6B,,,,
2015-01-09 13:45:00,EUR,Medium,French Industrial Production m/m,-0.3%,0.4%,-0.7%,,,,
2015-01-09 13:45:00,EUR,Low,French Trade Balance,-3.2B,-4.5B,-4.3B,,,,
2015-01-09 19:30:00,USD,High,Non-Farm Employment Change,252K,241K,353K,,,,
2015-01-09 19:30:00,USD,High,Unemployment Rate,5.6%,5.7%,5.8%,,,,
2015-01-09 19:30:00,USD,Medium,Average Hourly Earnings m/m,-0.2%,0.2%,0.2%,,,,
2015-01-09 21:00:00,USD,Low,Final Wholesale Inventories m/m,0.8%,0.4%,0.6%,,,,
2015-01-13 13:00:00,EUR,Low,German WPI m/m,-1.0%,0.2%,-0.7%,,,,
2015-01-13 15:00:00,EUR,Low,Italian Industrial Production m/m,0.3%,0.1%,0.0%,,,,
2015-01-13 20:00:00,USD,Low,NFIB Small Business Index,100.4,98.6,98.1,,,,
2015-01-13 21:00:00,USD,Medium,JOLTS Job Openings,4.97M,4.86M,4.83M,,,,
2015-01-13 21:00:00,USD,Low,IBD/TIPP Economic Optimism,51.5,48.9,48.4,,,,
2015-01-14 01:00:00,USD,Low,Federal Budget Balance,1.9B,3.8B,-56.8B,,,,
2015-01-14 13:45:00,EUR,Low,French Final CPI m/m,0.1%,0.0%,-0.2%,,,,
2015-01-14 16:00:00,EUR,Low,Industrial Production m/m,0.2%,0.0%,0.3%,,,,
2015-01-14 19:30:00,USD,High,Core Retail Sales m/m,-1.0%,0.1%,0.1%,,,,
2015-01-14 19:30:00,USD,High,Retail Sales m/m,-0.9%,0.2%,0.4%,,,,
2015-01-14 19:30:00,USD,Medium,Import Prices m/m,-2.5%,-2.7%,-1.8%,,,,
2015-01-14 21:00:00,USD,Medium,Business Inventories m/m,0.2%,0.2%,0.2%,,,,
2015-01-14 21:30:00,USD,Medium,Crude Oil Inventories,5.4M,1.2M,-3.1M,,,,
2015-01-15 16:00:00,EUR,Low,Trade Balance,20.0B,21.3B,19.6B,,,,
2015-01-15 19:30:00,USD,High,PPI m/m,-0.3%,-0.3%,-0.2%,,,,
2015-01-15 19:30:00,USD,High,Unemployment Claims,316K,299K,297K,,,,
2015-01-15 19:30:00,USD,Medium,Core PPI m/m,0.3%,0.2%,0.0%,,,,
2015-01-15 19:30:00,USD,Medium,Empire State Manufacturing Index,10.0,5.3,-3.6,,,,
2015-01-15 21:00:00,USD,High,Philly Fed Manufacturing Index,6.3,20.3,24.5,,,,
2015-01-15 21:30:00,USD,Low,Natural Gas Storage,-236B,-224B,-131B,,,,
2015-01-16 13:00:00,EUR,Low,German Final CPI m/m,0.0%,0.0%,0.0%,,,,
2015-01-16 16:00:00,EUR,Medium,Final CPI y/y,-0.2%,-0.2%,-0.2%,,,,
2015-01-16 16:00:00,EUR,Low,Final Core CPI y/y,0.7%,0.8%,0.8%,,,,
2015-01-16 19:30:00,USD,High,CPI m/m,-0.4%,-0.3%,-0.3%,,,,
2015-01-16 19:30:00,USD,High,Core CPI m/m,0.0%,0.1%,0.1%,,,,
2015-01-16 20:15:00,USD,Medium,Capacity Utilization Rate,79.7%,80.2%,80.0%,,,,
2015-01-16 20:15:00,USD,Medium,Industrial Production m/m,-0.1%,0.1%,1.3%,,,,
2015-01-16 21:00:00,USD,High,Prelim UoM Consumer Sentiment,98.2,94.2,93.6,,,,
2015-01-17 03:00:00,USD,Low,TIC Long-Term Purchases,33.5B,27.3B,-1.4B,,,,
2015-01-19 15:00:00,EUR,Low,Current Account,18.1B,22.7B,19.5B,,,,
2015-01-20 13:00:00,EUR,Low,German PPI m/m,-0.7%,-0.3%,0.0%,,,,
2015-01-20 15:03:00,EUR,Low,Italian Trade Balance,3.54B,4.32B,5.40B,,,,
2015-01-20 16:00:00,EUR,High,German ZEW Economic Sentiment,48.4,40.1,34.9,,,,
2015-01-20 16:00:00,EUR,Medium,ZEW Economic Sentiment,45.2,37.6,31.8,,,,
