Time,Currency,Impact,Event,Actual,Forecast,Previous,EffectDay,Effect60,Effect30,Effect15
2020-01-06 13:00:00,EUR,Low,German Retail Sales m/m,2.1%,1.1%,-1.3%,48.0,-5.0,-5.0,-4.0
2020-01-06 14:15:00,EUR,Low,Spanish Services PMI,54.9,53.9,53.2,48.0,7.0,6.0,5.0
2020-01-06 14:45:00,EUR,Low,Italian Services PMI,51.1,50.9,50.4,48.0,6.0,-4.0,2.0
2020-01-06 14:50:00,EUR,Low,French Final Services PMI,52.4,52.4,52.4,48.0,9.0,-4.0,3.0
2020-01-06 14:55:00,EUR,Low,German Final Services PMI,52.9,52.0,52.0,48.0,10.0,6.0,3.0
2020-01-06 15:00:00,EUR,Low,Final Services PMI,52.8,52.4,52.4,48.0,16.0,6.0,-4.0
2020-01-06 15:30:00,EUR,Low,Sentix Investor Confidence,7.6,3.0,0.7,48.0,16.0,14.0,4.0
2020-01-06 16:00:00,EUR,Low,PPI m/m,0.2%,0.1%,0.0%,48.0,18.0,-6.0,-4.0
2020-01-06 20:45:00,USD,Low,Final Services PMI,52.8,52.2,52.2,48.0,-12.0,-5.0,-4.0
2020-01-07 16:00:00,EUR,Medium,CPI Flash Estimate y/y,1.3%,1.3%,1.0%,-65.0,-9.0,-9.0,-5.0
2020-01-07 16:00:00,EUR,Low,Core CPI Flash Estimate y/y,1.3%,1.3%,1.3%,-65.0,-9.0,-9.0,-5.0
2020-01-07 16:00:00,EUR,Low,Italian Prelim CPI m/m,0.2%,0.2%,-0.2%,-65.0,-9.0,-9.0,-5.0
2020-01-07 16:00:00,EUR,Low,Retail Sales m/m,1.0%,0.6%,-0.3%,-65.0,-9.0,-9.0,-5.0
2020-01-07 19:30:00,USD,Low,Trade Balance,-43.1B,-44.5B,-46.9B,-65.0,-12.0,-9.0,-3.0
2020-01-07 21:00:00,USD,High,ISM Services PMI,55.0,54.5,53.9,-65.0,-16.0,7.0,6.0
2020-01-07 21:00:00,USD,Low,Factory Orders m/m,-0.7%,-0.6%,0.2%,-65.0,-16.0,7.0,6.0
2020-01-08 13:00:00,EUR,Low,German Factory Orders m/m,-1.3%,0.2%,0.2%,-59.0,5.0,5.0,2.0
2020-01-08 13:45:00,EUR,Low,French Trade Balance,-5.6B,-5.0B,-4.9B,-59.0,-11.0,-9.0,-5.0
2020-01-08 19:15:00,USD,High,ADP Non-Farm Employment Change,202K,160K,124K,-59.0,-18.0,-8.0,-8.0
2020-01-08 21:30:00,USD,Medium,Crude Oil Inventories,1.2M,-3.4M,-11.5M,-59.0,13.0,-9.0,-9.0
2020-01-09 02:00:00,USD,Low,Consumer Credit m/m,12.5B,15.5B,19.0B,-33.0,-6.0,-6.0,-4.0
2020-01-09 13:00:00,EUR,Low,German Industrial Production m/m,1.1%,0.9%,-1.0%,-33.0,-8.0,-4.0,-3.0
2020-01-09 13:00:00,EUR,Low,German Trade Balance,18.3B,20.9B,20.4B,-33.0,-8.0,-4.0,-3.0
2020-01-09 15:00:00,EUR,Low,Italian Monthly Unemployment Rate,9.7%,9.8%,9.7%,-33.0,12.0,-11.0,-11.0
2020-01-09 16:00:00,EUR,Low,Unemployment Rate,7.5%,7.5%,7.5%,-33.0,-21.0,-9.0,6.0
2020-01-09 19:30:00,USD,Low,Unemployment Claims,214K,221K,223K,-33.0,-10.0,-6.0,6.0
2020-01-09 21:30:00,USD,Low,Natural Gas Storage,-44B,-51B,-58B,-33.0,-8.0,5.0,4.0
2020-01-10 13:45:00,EUR,Low,French Industrial Production m/m,0.3%,0.1%,0.5%,35.0,-6.0,4.0,2.0
2020-01-10 15:00:00,EUR,Low,Italian Industrial Production m/m,0.1%,0.0%,-0.3%,35.0,-16.0,-8.0,-5.0
2020-01-10 19:30:00,USD,High,Average Hourly Earnings m/m,0.1%,0.3%,0.3%,35.0,-9.0,4.0,2.0
2020-01-10 19:30:00,USD,High,Non-Farm Employment Change,145K,162K,256K,35.0,-9.0,4.0,2.0
2020-01-10 19:30:00,USD,High,Unemployment Rate,3.5%,3.5%,3.5%,35.0,-9.0,4.0,2.0
