Time,Currency,Impact,Event,Actual,Forecast,Previous,EffectDay,Effect60,Effect30,Effect15
2021-01-04 14:15:00,EUR,Low,Spanish Manufacturing PMI,51.0,52.6,49.8,83.0,14.0,-8.0,-8.0
2021-01-04 14:45:00,EUR,Low,Italian Manufacturing PMI,52.8,53.5,51.5,83.0,29.0,14.0,-12.0
2021-01-04 14:50:00,EUR,Low,French Final Manufacturing PMI,51.1,51.1,51.1,83.0,29.0,17.0,13.0
2021-01-04 14:55:00,EUR,Low,German Final Manufacturing PMI,58.3,58.6,58.6,83.0,29.0,17.0,14.0
2021-01-04 15:00:00,EUR,Low,Final Manufacturing PMI,55.2,55.5,55.5,83.0,24.0,12.0,9.0
2021-01-04 20:45:00,USD,Low,Final Manufacturing PMI,57.1,56.3,56.5,83.0,-20.0,-12.0,-12.0
2021-01-04 21:00:00,USD,Low,Construction Spending m/m,0.9%,1.1%,1.6%,83.0,-26.0,16.0,-10.0
2021-01-05 13:00:00,EUR,Low,German Retail Sales m/m,1.9%,-2.0%,2.6%,55.0,8.0,-6.0,-6.0
2021-01-05 14:00:00,EUR,Low,Spanish Unemployment Change,36.8K,30.5K,25.3K,55.0,-16.0,10.0,-9.0
2021-01-05 14:55:00,EUR,Low,German Unemployment Change,-37K,10K,-40K,55.0,23.0,23.0,12.0
2021-01-05 15:00:00,EUR,Low,M3 Money Supply y/y,11.0%,10.6%,10.5%,55.0,20.0,20.0,14.0
2021-01-05 15:00:00,EUR,Low,Private Loans y/y,3.1%,3.3%,3.2%,55.0,20.0,20.0,14.0
2021-01-05 21:00:00,USD,Medium,ISM Manufacturing PMI,60.7,56.6,57.5,55.0,-19.0,12.0,9.0
2021-01-05 21:00:00,USD,Low,ISM Manufacturing Prices,77.6,66.0,65.4,55.0,-19.0,12.0,9.0
2021-01-05 21:00:00,USD,Low,Wards Total Vehicle Sales,16.3M,15.8M,15.6M,55.0,-19.0,12.0,9.0
2021-01-06 23:00:00,EUR,Low,German Prelim CPI m/m,0.5%,0.6%,-0.8%,-84.0,27.0,18.0,-16.0
2021-01-06 13:45:00,EUR,Low,French Prelim CPI m/m,0.2%,0.4%,0.2%,-84.0,36.0,25.0,12.0
2021-01-06 14:15:00,EUR,Low,Spanish Services PMI,48.0,44.5,39.5,-84.0,25.0,25.0,-14.0
2021-01-06 14:45:00,EUR,Low,Italian Services PMI,39.7,45.0,39.4,-84.0,-21.0,-14.0,8.0
2021-01-06 14:50:00,EUR,Low,French Final Services PMI,49.1,49.2,49.2,-84.0,-21.0,-16.0,-11.0
2021-01-06 14:55:00,EUR,Low,German Final Services PMI,47.0,47.7,47.7,-84.0,-18.0,-18.0,-11.0
2021-01-06 15:00:00,EUR,Low,Final Services PMI,46.4,47.4,47.3,-84.0,-18.0,-18.0,-11.0
2021-01-06 16:00:00,EUR,Low,PPI m/m,0.4%,0.2%,0.4%,-84.0,18.0,17.0,16.0
2021-01-06 19:15:00,USD,Medium,ADP Non-Farm Employment Change,-123K,60K,304K,-84.0,-19.0,-13.0,6.0
2021-01-06 20:45:00,USD,Low,Final Services PMI,54.8,55.2,55.3,-84.0,-44.0,-43.0,-20.0
2021-01-06 21:00:00,USD,Low,Factory Orders m/m,1.0%,0.7%,1.3%,-84.0,28.0,-27.0,-27.0
2021-01-06 21:30:00,USD,Low,Crude Oil Inventories,-8.0M,-2.8M,-6.1M,-84.0,28.0,28.0,18.0
2021-01-07 13:00:00,EUR,Low,German Factory Orders m/m,2.3%,-0.6%,3.3%,-99.0,18.0,12.0,6.0
2021-01-07 16:00:00,EUR,Low,CPI Flash Estimate y/y,-0.3%,-0.2%,-0.3%,-99.0,-31.0,-14.0,-10.0
2021-01-07 16:00:00,EUR,Low,Core CPI Flash Estimate y/y,0.2%,0.2%,0.2%,-99.0,-31.0,-14.0,-10.0
2021-01-07 16:00:00,EUR,Low,Italian Prelim CPI m/m,0.3%,0.2%,-0.1%,-99.0,-31.0,-14.0,-10.0
2021-01-07 16:00:00,EUR,Low,Retail Sales m/m,-6.1%,-3.4%,1.4%,-99.0,-31.0,-14.0,-10.0
2021-01-07 19:30:00,USD,Medium,Unemployment Claims,787K,798K,790K,-99.0,15.0,10.0,7.0
2021-01-07 19:30:00,USD,Low,Trade Balance,-68.1B,-66.7B,-63.1B,-99.0,15.0,10.0,7.0
2021-01-07 21:00:00,USD,Medium,ISM Services PMI,57.2,54.5,55.9,-99.0,-29.0,17.0,16.0
2021-01-07 21:30:00,USD,Low,Natural Gas Storage,-130B,-142B,-114B,-99.0,-30.0,-23.0,-23.0
2021-01-08 13:00:00,EUR,Low,German Industrial Production m/m,0.9%,0.7%,3.4%,71.0,10.0,9.0,6.0
2021-01-08 13:00:00,EUR,Low,German Trade Balance,16.4B,18.5B,18.2B,71.0,10.0,9.0,6.0
2021-01-08 13:45:00,EUR,Low,French Consumer Spending m/m,-18.9%,-15.8%,3.9%,71.0,-24.0,-10.0,-6.0
2021-01-08 13:45:00,EUR,Low,French Industrial Production m/m,-0.9%,-1.0%,1.9%,71.0,-24.0,-10.0,-6.0
2021-01-08 13:45:00,EUR,Low,French Trade Balance,-3.6B,-4.9B,-4.6B,71.0,-24.0,-10.0,-6.0
2021-01-08 16:00:00,EUR,Low,Italian Monthly Unemployment Rate,8.9%,10.0%,9.5%,71.0,23.0,16.0,13.0
2021-01-08 16:00:00,EUR,Low,Unemployment Rate,8.3%,8.5%,8.4%,71.0,23.0,16.0,13.0
2021-01-08 19:30:00,USD,High,Average Hourly Earnings m/m,0.8%,0.2%,0.3%,71.0,9.0,-7.0,-6.0
2021-01-08 19:30:00,USD,High,Non-Farm Employment Change,-140K,60K,336K,71.0,9.0,-7.0,-6.0
2021-01-08 19:30:00,USD,High,Unemployment Rate,6.7%,6.8%,6.7%,71.0,9.0,-7.0,-6.0
2021-01-08 21:00:00,USD,Low,Final Wholesale Inventories m/m,0.0%,-0.1%,-0.1%,71.0,-40.0,25.0,-15.0
2021-01-09 02:00:00,USD,Low,Consumer Credit m/m,15.3B,9.0B,4.5B,-60.0,22.0,16.0,16.0
2021-01-11 15:30:00,EUR,Low,Sentix Investor Confidence,1.3,2.0,-2.7,-90.0,-21.0,-16.0,9.0
2021-01-12 15:00:00,EUR,Low,Italian Retail Sales m/m,-6.9%,-4.5%,0.5%,-42.0,17.0,-15.0,-13.0
2021-01-12 17:00:00,USD,Low,NFIB Small Business Index,95.9,100.1,101.4,-42.0,-22.0,-14.0,-13.0
2021-01-12 21:00:00,USD,Low,JOLTS Job Openings,6.53M,6.42M,6.63M,-42.0,21.0,20.0,12.0
2021-01-12 21:02:00,USD,Low,IBD/TIPP Economic Optimism,50.1,50.1,49.0,-42.0,21.0,20.0,15.0
2021-01-13 13:00:00,EUR,Low,German WPI m/m,0.6%,0.1%,0.1%,-71.0,9.0,9.0,7.0
2021-01-13 15:00:00,EUR,Low,Italian Industrial Production m/m,-1.4%,-0.4%,1.4%,-71.0,-22.0,13.0,13.0
2021-01-13 16:00:00,EUR,Low,Industrial Production m/m,2.5%,0.2%,2.3%,-71.0,-10.0,-10.0,-10.0
2021-01-13 19:30:00,USD,Medium,CPI m/m,0.4%,0.4%,0.2%,-71.0,-13.0,8.0,6.0
2021-01-13 19:30:00,USD,Medium,Core CPI m/m,0.1%,0.1%,0.2%,-71.0,-13.0,8.0,6.0
2021-01-13 21:30:00,USD,Low,Crude Oil Inventories,-3.2M,-3.2M,-8.0M,-71.0,27.0,18.0,16.0
2021-01-14 01:00:00,USD,Low,Federal Budget Balance,-143.6B,-144.5B,-145.3B,-64.0,-14.0,9.0,9.0
2021-01-14 19:30:00,USD,Low,Import Prices m/m,0.9%,0.7%,0.2%,-64.0,-38.0,-24.0,10.0
2021-01-14 19:30:00,USD,Low,Unemployment Claims,965K,785K,784K,-64.0,-38.0,-24.0,10.0
2021-01-14 21:30:00,USD,Low,Natural Gas Storage,-134B,-129B,-130B,-64.0,-14.0,-12.0,-9.0
2021-01-15 13:45:00,EUR,Low,French Final CPI m/m,0.2%,0.2%,0.2%,-97.0,13.0,10.0,-4.0
2021-01-15 16:00:00,EUR,Low,Trade Balance,25.1B,22.3B,25.2B,-97.0,13.0,13.0,13.0
2021-01-15 19:30:00,USD,High,Core Retail Sales m/m,-1.4%,-0.1%,-1.3%,-97.0,13.0,10.0,8.0
2021-01-15 19:30:00,USD,High,Retail Sales m/m,-0.7%,0.0%,-1.4%,-97.0,13.0,10.0,8.0
2021-01-15 19:30:00,USD,Low,Core PPI m/m,0.1%,0.1%,0.1%,-97.0,13.0,10.0,8.0
2021-01-15 19:30:00,USD,Low,Empire State Manufacturing Index,3.5,5.7,4.9,-97.0,13.0,10.0,8.0
2021-01-15 19:30:00,USD,Low,PPI m/m,0.3%,0.4%,0.1%,-97.0,13.0,10.0,8.0
2021-01-15 20:15:00,USD,Low,Capacity Utilization Rate,74.5%,73.4%,73.4%,-97.0,-27.0,11.0,-4.0
2021-01-15 20:15:00,USD,Low,Industrial Production m/m,1.6%,0.5%,0.5%,-97.0,-27.0,11.0,-4.0
