Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Aug 8 2021,All Day,JPY,Holiday,Bank Holiday,,,
,9:30pm,CNY,Low,CPI y/y,1.0%,0.8%,1.1%
,,CNY,Low,PPI y/y,9.0%,8.6%,8.8%
Mon Aug 9 2021,1:45am,CHF,Low,Unemployment Rate,3.0%,3.0%,3.1%
,2:00am,EUR,Low,German Trade Balance,13.6B,13.9B,12.8B
,4:30am,EUR,Low,Sentix Investor Confidence,22.2,29.2,29.8
,10:00am,USD,Medium,FOMC Member Bostic Speaks,,,
,,USD,Medium,JOLTS Job Openings,10.07M,9.27M,9.48M
,12:00pm,USD,Medium,FOMC Member Barkin Speaks,,,
,7:01pm,GBP,Low,BRC Retail Sales Monitor y/y,4.7%,4.9%,6.7%
,7:50pm,JPY,Low,Bank Lending y/y,1.0%,1.6%,1.4%
,,JPY,Low,Current Account,1.78T,1.71T,1.87T
,9:30pm,AUD,Medium,NAB Business Confidence,-8,,11
Tue Aug 10 2021,1:00am,JPY,Low,Economy Watchers Sentiment,48.4,43.5,47.6
,5:00am,EUR,Medium,ZEW Economic Sentiment,42.7,55.3,61.2
,,EUR,Medium,German ZEW Economic Sentiment,40.4,54.9,63.3
,5:18am,GBP,Low,10-y Bond Auction,0.66|2.7,,0.82|2.7
,6:00am,USD,Low,NFIB Small Business Index,99.7,101.9,102.5
,8:30am,USD,Low,Prelim Nonfarm Productivity q/q,2.3%,3.3%,4.3%
,,USD,Low,Prelim Unit Labor Costs q/q,1.0%,0.9%,1.7%
,7:50pm,JPY,Low,M2 Money Stock y/y,5.2%,5.3%,5.8%
,8:30pm,AUD,Medium,Westpac Consumer Sentiment,-4.4%,,1.5%
,11:35pm,JPY,Low,30-y Bond Auction,0.65|3.1,,0.68|3.6
Wed Aug 11 2021,2:00am,EUR,Low,German Final CPI m/m,0.9%,0.9%,0.9%
,,JPY,Low,Prelim Machine Tool Orders y/y,93.4%,,96.6%
,4:01am,CNY,Low,M2 Money Supply y/y,8.3%,8.7%,8.6%
,,CNY,Low,New Loans,1080B,1200B,2120B
,5:32am,EUR,Low,German 10-y Bond Auction,-0.44|1.4,,-0.30|1.4
,8:30am,USD,High,CPI m/m,0.5%,0.5%,0.9%
,,USD,High,Core CPI m/m,0.3%,0.4%,0.9%
,10:30am,USD,Medium,Crude Oil Inventories,-0.4M,-0.8M,3.6M
,,USD,Medium,FOMC Member Bostic Speaks,,,
,1:01pm,USD,Medium,10-y Bond Auction,1.34|2.6,,1.37|2.4
,2:00pm,USD,Low,Federal Budget Balance,-302.1B,-305.0B,-174.2B
,6:45pm,NZD,Low,FPI m/m,1.3%,,1.4%
,7:01pm,GBP,Low,RICS House Price Balance,79%,77%,82%
,7:50pm,JPY,Low,PPI y/y,5.6%,5.1%,5.0%
,9:00pm,AUD,Low,MI Inflation Expectations,3.3%,,3.7%
,11:00pm,NZD,Medium,Inflation Expectations q/q,2.27%,,2.05%
Thu Aug 12 2021,2:00am,GBP,Medium,Prelim GDP q/q,4.8%,4.8%,-1.6%
,,GBP,Low,Construction Output m/m,-1.3%,1.1%,-0.7%
,,GBP,Low,GDP m/m,1.0%,0.8%,0.6%
,,GBP,Low,Goods Trade Balance,-12.0B,-9.1B,-9.6B
,,GBP,Low,Index of Services 3m/3m,5.7%,5.6%,3.9%
,,GBP,Low,Industrial Production m/m,-0.7%,0.3%,0.6%
,,GBP,Low,Manufacturing Production m/m,0.2%,0.4%,0.1%
,,GBP,Low,Prelim Business Investment q/q,2.4%,5.9%,-10.7%
,4:00am,EUR,Low,Italian Trade Balance,5.68B,5.59B,5.63B
,5:00am,EUR,Low,Industrial Production m/m,-0.3%,-0.3%,-1.1%
,8:30am,USD,High,PPI m/m,1.0%,0.6%,1.0%
,,USD,Medium,Core PPI m/m,1.0%,0.5%,1.0%
,,USD,Medium,Unemployment Claims,375K,375K,387K
,8:40am,GBP,Low,NIESR GDP Estimate,3.9%,,4.8%
,10:30am,USD,Low,Natural Gas Storage,49B,47B,13B
,1:01pm,USD,Medium,30-y Bond Auction,2.04|2.2,,2.00|2.2
,6:30pm,NZD,Low,BusinessNZ Manufacturing Index,62.6,,60.9
,6:45pm,NZD,Low,Visitor Arrivals m/m,-10.4%,,80.4%
Fri Aug 13 2021,2:00am,EUR,Low,German WPI m/m,1.1%,0.9%,1.5%
,2:30am,CHF,Low,PPI m/m,0.5%,0.3%,0.3%
,2:45am,EUR,Low,French Final CPI m/m,0.1%,0.1%,0.1%
,4:36am,CNY,Low,Foreign Direct Investment ytd/y,25.5%,,28.7%
,5:00am,EUR,Low,Trade Balance,12.4B,10.9B,13.8B
,8:30am,USD,Low,Import Prices m/m,0.3%,0.6%,1.1%
,10:00am,USD,Medium,Prelim UoM Consumer Sentiment,70.2,81.2,81.2
,,USD,Low,Prelim UoM Inflation Expectations,4.6%,,4.7%
Sat Aug 14 2021,,,No specified,,,,
