Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Apr 12 2020,All Day,All,High,OPEC-JMMC Meetings,,,
,All Day,NZD,Holiday,Bank Holiday,,,
,All Day,AUD,Holiday,Bank Holiday,,,
,7:50pm,JPY,Low,M2 Money Stock y/y,3.3%,2.9%,3.0%
Mon Apr 13 2020,All Day,CHF,Holiday,Bank Holiday,,,
,All Day,EUR,Holiday,French Bank Holiday,,,
,All Day,EUR,Holiday,German Bank Holiday,,,
,All Day,EUR,Holiday,Italian Bank Holiday,,,
,All Day,GBP,Holiday,Bank Holiday,,,
,5:49pm,USD,High,President Trump Speaks,,,
,6:45pm,NZD,Low,Visitor Arrivals m/m,-7.7%,,-1.3%
,9:30pm,AUD,Medium,NAB Business Confidence,-66,,-2
,11:48pm,CNY,Medium,USD-Denominated Trade Balance,19.9B,19.7B,-7.1B
,11:49pm,CNY,High,Trade Balance,139B,175B,-43B
Tue Apr 14 2020,All Day,All,High,G7 Meetings,,,
,8:30am,USD,Low,Import Prices m/m,-2.3%,-3.1%,-0.7%
,Day 1,All,Low,IMF Meetings,,,
,6:15pm,USD,High,President Trump Speaks,,,
,6:45pm,NZD,Low,FPI m/m,0.7%,,0.0%
,8:30pm,AUD,Low,Westpac Consumer Sentiment,-17.7%,,-3.8%
Wed Apr 15 2020,2:45am,EUR,Low,French Final CPI m/m,0.1%,0.0%,0.0%
,4:17am,CNY,Low,Foreign Direct Investment ytd/y,-10.8%,,-8.6%
,5:00am,CHF,Low,SECO Consumer Climate,-40,,-9
,5:28am,GBP,Low,10-y Bond Auction,0.27|2.9,,0.38|3.9
,5:37am,EUR,Low,German 30-y Bond Auction,-0.09|1.9,,0.01|1.1
,8:30am,USD,High,Core Retail Sales m/m,-4.5%,-4.9%,-0.4%
,,USD,High,Retail Sales m/m,-8.7%,-8.0%,-0.4%
,,USD,Low,Empire State Manufacturing Index,-78.2,-35.2,-21.5
,9:15am,USD,Low,Capacity Utilization Rate,72.7%,73.7%,77.0%
,,USD,Low,Industrial Production m/m,-5.4%,-4.1%,0.5%
,10:00am,CAD,High,BOC Monetary Policy Report,,,
,,CAD,High,BOC Rate Statement,,,
,,CAD,High,Overnight Rate,0.25%,0.25%,0.25%
,,USD,Low,Business Inventories m/m,-0.4%,-0.4%,-0.3%
,,USD,Low,NAHB Housing Market Index,30,56,72
,Day 2,All,Low,IMF Meetings,,,
,10:30am,CAD,High,BOC Press Conference,,,
,,USD,Low,Crude Oil Inventories,19.2M,12.1M,15.2M
,2:00pm,USD,Low,Beige Book,,,
,4:00pm,USD,Low,TIC Long-Term Purchases,49.4B,24.6B,21.8B
,5:50pm,USD,High,President Trump Speaks,,,
,7:01pm,GBP,Low,BRC Retail Sales Monitor y/y,-3.5%,-5.5%,-0.4%
,9:00pm,AUD,Low,MI Inflation Expectations,4.6%,,4.0%
,9:30pm,AUD,High,Employment Change,5.9K,-33.0K,25.6K
,,AUD,High,Unemployment Rate,5.2%,5.4%,5.1%
Thu Apr 16 2020,2:00am,EUR,Low,German Final CPI m/m,0.1%,0.1%,0.1%
,,EUR,Low,German WPI m/m,-0.4%,0.2%,-0.9%
,2:30am,CHF,Low,PPI m/m,-0.3%,-1.2%,-0.9%
,4:30am,GBP,Medium,BOE Credit Conditions Survey,,,
,5:00am,EUR,Low,Industrial Production m/m,-0.1%,-0.1%,2.3%
,6:34am,GBP,Low,30-y Bond Auction,0.68|2.4,,1.03|2.1
,8:30am,CAD,Low,ADP Non-Farm Employment Change,-177.3K,,116.7K
,,CAD,Low,Manufacturing Sales m/m,0.5%,0.0%,-0.7%
,,USD,High,Unemployment Claims,5245K,5350K,6615K
,,USD,Medium,Building Permits,1.35M,1.30M,1.45M
,,USD,Low,Housing Starts,1.22M,1.31M,1.56M
,8:32am,USD,Medium,Philly Fed Manufacturing Index,-56.6,-30.0,-12.7
,9:30am,GBP,Low,MPC Member Tenreyro Speaks,,,
,Day 3,All,Low,IMF Meetings,,,
,10:30am,USD,Low,Natural Gas Storage,73B,63B,38B
,2:00pm,USD,Low,FOMC Member Williams Speaks,,,
,4:00pm,CAD,High,BOC Gov Poloz Speaks,,,
,6:08pm,USD,High,President Trump Speaks,,,
,10:00pm,CNY,High,GDP q/y,-6.8%,-6.2%,6.0%
,,CNY,Medium,Fixed Asset Investment ytd/y,-16.1%,-15.0%,-24.5%
,,CNY,Low,NBS Press Conference,,,
,,CNY,Low,Retail Sales y/y,-15.8%,-10.0%,-20.5%
,,CNY,Low,Unemployment Rate,5.9%,,6.2%
,10:02pm,CNY,Medium,Industrial Production y/y,-1.1%,-7.0%,-13.5%
Fri Apr 17 2020,12:30am,JPY,Low,Revised Industrial Production m/m,-0.3%,0.4%,0.4%
,,JPY,Low,Tertiary Industry Activity m/m,-0.5%,-0.4%,0.3%
,4:06am,EUR,Low,Italian Trade Balance,6.09B,3.18B,0.55B
,5:00am,EUR,Low,Final CPI y/y,0.7%,0.7%,0.7%
,,EUR,Low,Final Core CPI y/y,1.0%,1.0%,1.0%
,10:00am,USD,Low,CB Leading Index m/m,-6.7%,-7.1%,-0.2%
,Day 4,All,Low,IMF Meetings,,,
,6:00pm,USD,High,President Trump Speaks,,,
Sat Apr 18 2020,6:00pm,USD,High,President Trump Speaks,,,
