Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Sep 5 2021,9:00pm,AUD,Low,MI Inflation Gauge m/m,0.0%,,0.5%
,,NZD,Low,ANZ Commodity Prices m/m,-1.6%,,-1.7%
,9:30pm,AUD,Low,ANZ Job Advertisements m/m,-2.5%,,-1.3%
Mon Sep 6 2021,2:00am,EUR,Low,German Factory Orders m/m,3.4%,-0.9%,4.6%
,4:30am,EUR,Low,Sentix Investor Confidence,19.6,18.3,22.2
,,GBP,Low,Construction PMI,55.2,57.4,58.7
,7:10am,GBP,Low,MPC Member Mann Speaks,,,
,All Day,CAD,Holiday,Bank Holiday,,,
,All Day,USD,Holiday,Bank Holiday,,,
,6:30pm,AUD,Low,AIG Services Index,45.6,,51.7
,7:01pm,GBP,Low,BRC Retail Sales Monitor y/y,1.5%,3.2%,4.7%
,7:30pm,JPY,Low,Average Cash Earnings y/y,1.0%,0.2%,0.1%
,,JPY,Low,Household Spending y/y,0.7%,2.6%,-5.1%
,11:01pm,CNY,Low,USD-Denominated Trade Balance,58.3B,50.5B,56.6B
,11:03pm,CNY,Low,Trade Balance,376B,323B,363B
,11:35pm,JPY,Low,30-y Bond Auction,0.65|3.0,,0.65|3.1
Tue Sep 7 2021,12:30am,AUD,High,RBA Rate Statement,,,
,,AUD,Medium,Cash Rate,0.10%,0.10%,0.10%
,12:59am,JPY,Low,Leading Indicators,104.1%,103.5%,104.6%
,1:10am,GBP,Low,MPC Member Mann Speaks,,,
,1:45am,CHF,Low,Unemployment Rate,2.9%,2.9%,3.0%
,2:00am,EUR,Low,German Industrial Production m/m,1.0%,1.0%,-1.0%
,,GBP,Low,Halifax HPI m/m,0.7%,1.1%,0.4%
,3:00am,CHF,Low,Foreign Currency Reserves,929B,,922B
,3:30am,GBP,Medium,MPC Member Saunders Speaks,,,
,5:00am,EUR,Medium,ZEW Economic Sentiment,31.1,35.3,42.7
,,EUR,Medium,German ZEW Economic Sentiment,26.5,30.2,40.4
,,EUR,Low,Final Employment Change q/q,0.7%,0.5%,0.5%
,,EUR,Low,Revised GDP q/q,2.2%,2.0%,2.0%
,10:36am,NZD,Low,GDT Price Index,4.0%,,0.3%
,7:50pm,JPY,Low,Bank Lending y/y,0.6%,1.0%,0.9%
,,JPY,Low,Current Account,1.41T,1.85T,1.78T
,,JPY,Low,Final GDP q/q,0.5%,0.3%,0.3%
