Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jun 21 2015,5:52pm,NZD,Low,Westpac Consumer Sentiment,113.0,,117.4
,6:47pm,NZD,Low,Visitor Arrivals m/m,0.1%,,1.5%
,All Day,CNY,Holiday,Bank Holiday,,,
,11:00pm,NZD,Low,Credit Card Spending y/y,7.1%,,7.2%
Mon Jun 22 2015,1:00am,JPY,Low,BOJ Monthly Report,,,
,3:45am,GBP,Medium,MPC Member Cunliffe Speaks,,,
,All Day,EUR,High,Eurogroup Meetings,,,
,All Day,EUR,High,Euro Summit,,,
,10:00am,EUR,Low,Consumer Confidence,-6,-6,-6
,,USD,High,Existing Home Sales,5.35M,5.27M,5.09M
,8:00pm,AUD,Low,CB Leading Index m/m,-0.3%,,0.0%
,9:30pm,AUD,Medium,HPI q/q,1.6%,2.2%,2.0%
,9:35pm,JPY,Low,Flash Manufacturing PMI,49.9,50.6,50.9
,9:45pm,CNY,High,Caixin Flash Manufacturing PMI,49.6,49.4,49.2
Tue Jun 23 2015,3:00am,EUR,High,French Flash Manufacturing PMI,50.5,50.1,49.4
,,EUR,Medium,French Flash Services PMI,54.1,52.5,52.8
,3:30am,EUR,High,German Flash Manufacturing PMI,51.9,51.5,51.1
,,EUR,Medium,German Flash Services PMI,54.2,52.9,53.0
,4:00am,EUR,Medium,Flash Manufacturing PMI,52.5,52.0,52.2
,,EUR,Medium,Flash Services PMI,54.4,53.7,53.8
,5:00am,EUR,Low,Italian Retail Sales m/m,0.7%,0.1%,-0.1%
,6:00am,GBP,Low,CBI Industrial Order Expectations,-7,1,-5
,8:00am,USD,High,FOMC Member Powell Speaks,,,
,8:30am,USD,High,Core Durable Goods Orders m/m,0.5%,0.6%,-0.2%
,,USD,Medium,Durable Goods Orders m/m,-1.8%,-0.6%,-1.0%
,9:00am,USD,Low,HPI m/m,0.3%,0.6%,0.3%
,9:45am,USD,Medium,Flash Manufacturing PMI,53.4,54.2,54.0
,9:59am,USD,Low,Richmond Manufacturing Index,6,3,1
,10:00am,USD,Medium,New Home Sales,546K,524K,534K
,7:50pm,JPY,Medium,Monetary Policy Meeting Minutes,,,
,,JPY,Low,SPPI y/y,0.6%,0.4%,0.7%
,10:00pm,CNY,Low,CB Leading Index m/m,1.1%,,1.4%
Wed Jun 24 2015,2:00am,CHF,Low,UBS Consumption Indicator,1.73,,1.67
,4:00am,EUR,High,German ifo Business Climate,107.4,108.2,108.5
,4:30am,GBP,Low,High Street Lending,42.5K,43.1K,42.0K
,All Day,EUR,High,Eurogroup Meetings,,,
,8:30am,USD,High,Final GDP q/q,-0.2%,-0.2%,-0.7%
,,USD,Low,Final GDP Price Index q/q,0.0%,-0.1%,-0.1%
,9:00am,CHF,Low,SNB Quarterly Bulletin,,,
,,EUR,Low,Belgian NBB Business Climate,-3.9,-5.2,-4.9
,10:30am,USD,Medium,Crude Oil Inventories,-4.9M,-1.8M,-2.7M
Thu Jun 25 2015,2:00am,EUR,Medium,German GfK Consumer Climate,10.1,10.1,10.2
,4:00am,CHF,High,SNB Chairman Jordan Speaks,,,
,6:00am,GBP,Low,CBI Realized Sales,29,32,51
,All Day,EUR,High,Eurogroup Meetings,,,
,Day 1,EUR,High,EU Economic Summit,,,
,8:00am,USD,Low,FOMC Member Tarullo Speaks,,,
,8:30am,USD,High,Unemployment Claims,271K,271K,268K
,,USD,Medium,Core PCE Price Index m/m,0.1%,0.1%,0.1%
,,USD,Medium,Personal Spending m/m,0.9%,0.7%,0.1%
,,USD,Low,Personal Income m/m,0.5%,0.6%,0.5%
,9:45am,USD,Medium,FOMC Member Powell Speaks,,,
,,USD,Low,Flash Services PMI,54.8,56.5,56.2
,10:30am,USD,Low,Natural Gas Storage,75B,79B,89B
,12:10pm,CAD,Medium,Gov Council Member Schembri Speaks,,,
,6:45pm,NZD,High,Trade Balance,350M,-90M,183M
,7:30pm,JPY,Medium,Household Spending y/y,4.8%,3.5%,-1.3%
,,JPY,Medium,Tokyo Core CPI y/y,0.1%,0.1%,0.2%
,,JPY,Low,National Core CPI y/y,0.1%,0.0%,0.3%
,,JPY,Low,Unemployment Rate,3.3%,3.3%,3.3%
,10:00pm,NZD,Medium,RBNZ Statement of Intent,,,
Fri Jun 26 2015,2:00am,EUR,Low,German Import Prices m/m,-0.2%,0.2%,0.6%
,4:00am,EUR,Medium,M3 Money Supply y/y,5.0%,5.4%,5.3%
,,EUR,Low,Private Loans y/y,0.5%,0.3%,0.0%
,Day 2,EUR,Medium,EU Economic Summit,,,
,10:00am,USD,Medium,Revised UoM Consumer Sentiment,96.1,94.6,94.6
,,USD,Low,Revised UoM Inflation Expectations,2.7%,,2.7%
,10:15am,GBP,High,BOE Gov Carney Speaks,,,
Sat Jun 27 2015,All Day,EUR,High,Eurogroup Meetings,,,
,7:00pm,GBP,Medium,MPC Member Weale Speaks,,,
