Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jul 19 2015,7:01pm,GBP,Low,Rightmove HPI m/m,0.1%,,3.0%
,All Day,JPY,Holiday,Bank Holiday,,,
,8:19pm,CNY,Medium,New Loans,1279B,1050B,901B
Mon Jul 20 2015,2:00am,EUR,Low,German PPI m/m,-0.1%,0.0%,0.0%
,4:00am,EUR,Low,Current Account,18.0B,23.1B,24.0B
,6:00am,EUR,Low,German Buba Monthly Report,,,
,8:30am,CAD,High,Wholesale Sales m/m,-1.0%,0.1%,1.7%
,2:30pm,USD,Medium,Treasury Sec Lew Speaks,,,
,6:45pm,NZD,Low,Visitor Arrivals m/m,-0.2%,,0.1%
,7:50pm,JPY,Medium,Monetary Policy Meeting Minutes,,,
,9:30pm,AUD,High,Monetary Policy Meeting Minutes,,,
,10:00pm,CNY,Low,Foreign Direct Investment ytd/y,8.3%,,10.5%
,11:00pm,NZD,Low,Credit Card Spending y/y,6.5%,,7.2%
Tue Jul 21 2015,2:00am,CHF,Medium,Trade Balance,3.58B,2.54B,3.41B
,4:30am,GBP,Medium,Public Sector Net Borrowing,8.6B,8.6B,8.4B
,8:30pm,AUD,Low,MI Leading Index m/m,0.0%,,-0.1%
,9:30pm,AUD,High,CPI q/q,0.7%,0.8%,0.2%
,,AUD,Medium,Trimmed Mean CPI q/q,0.6%,0.6%,0.7%
,10:00pm,CNY,Low,CB Leading Index m/m,1.0%,,1.1%
,11:05pm,AUD,High,RBA Gov Stevens Speaks,,,
Wed Jul 22 2015,12:30am,JPY,Low,All Industries Activity m/m,-0.5%,-0.5%,0.1%
,4:30am,GBP,High,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-0-9
,,GBP,Medium,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
,5:00am,EUR,Low,Italian Retail Sales m/m,-0.1%,0.1%,0.7%
,9:00am,USD,Low,HPI m/m,0.4%,0.5%,0.4%
,10:00am,USD,Medium,Existing Home Sales,5.49M,5.40M,5.32M
,10:30am,USD,Medium,Crude Oil Inventories,2.5M,-1.7M,-4.3M
,5:00pm,NZD,High,Official Cash Rate,3.00%,3.00%,3.25%
,,NZD,High,RBNZ Rate Statement,,,
,7:50pm,JPY,Medium,Trade Balance,-0.25T,-0.25T,-0.16T
,9:11pm,EUR,High,Greek Gov Debt Crisis Vote,Pass,Pass,
,9:30pm,AUD,Medium,NAB Quarterly Business Confidence,4,,0
Thu Jul 23 2015,3:00am,EUR,Medium,Spanish Unemployment Rate,22.4%,22.8%,23.8%
,4:30am,GBP,High,Retail Sales m/m,-0.2%,0.4%,0.3%
,8:30am,CAD,High,Core Retail Sales m/m,0.9%,0.7%,-0.5%
,,CAD,Medium,Retail Sales m/m,1.0%,0.4%,-0.1%
,,USD,High,Unemployment Claims,255K,279K,281K
,10:00am,EUR,Low,Consumer Confidence,-7,-6,-6
,,USD,Low,CB Leading Index m/m,0.6%,0.1%,0.8%
,10:15am,EUR,Medium,German Buba President Weidmann Speaks,,,
,10:30am,USD,Low,Natural Gas Storage,61B,71B,99B
,6:45pm,NZD,High,Trade Balance,-60M,100M,371M
,9:35pm,JPY,Low,Flash Manufacturing PMI,51.4,50.5,50.1
,9:45pm,CNY,High,Caixin Flash Manufacturing PMI,48.2,49.8,49.4
Fri Jul 24 2015,3:00am,EUR,High,French Flash Manufacturing PMI,49.6,51.1,50.7
,,EUR,Medium,French Flash Services PMI,52.0,53.9,54.1
,3:30am,EUR,High,German Flash Manufacturing PMI,51.5,52.1,51.9
,,EUR,Medium,German Flash Services PMI,53.7,54.1,53.8
,4:00am,EUR,Medium,Flash Manufacturing PMI,52.2,52.5,52.5
,,EUR,Medium,Flash Services PMI,53.8,54.2,54.4
,4:30am,GBP,Low,High Street Lending,44.5K,43.5K,42.9K
,9:08am,EUR,Low,Belgian NBB Business Climate,-4.1,-4.0,-3.9
,9:45am,USD,Medium,Flash Manufacturing PMI,53.8,53.7,53.6
,10:00am,USD,Medium,New Home Sales,482K,543K,517K
Sat Jul 25 2015,,,No specified,,,,
