Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Mar 8 2015,3:00am,CAD,Holiday,Daylight Saving Time Shift,,,
,,USD,Holiday,Daylight Saving Time Shift,,,
,5:45pm,NZD,Low,Manufacturing Sales q/q,-0.7%,,-1.1%
,7:50pm,JPY,Medium,Current Account,1.06T,1.16T,0.85T
,,JPY,Medium,Final GDP q/q,0.4%,0.5%,0.6%
,,JPY,Low,Bank Lending y/y,2.5%,,2.5%
,,JPY,Low,Final GDP Price Index y/y,2.4%,2.3%,2.3%
,8:30pm,AUD,Medium,ANZ Job Advertisements m/m,0.9%,,1.2%
Mon Mar 9 2015,1:00am,JPY,Low,Economy Watchers Sentiment,50.1,46.7,45.6
,3:00am,EUR,Low,German Trade Balance,19.7B,20.4B,21.6B
,5:30am,EUR,Low,Sentix Investor Confidence,18.6,15.3,12.4
,All Day,EUR,High,Eurogroup Meetings,,,
,8:13am,CAD,Low,Housing Starts,156K,176K,187K
,10:00am,USD,Low,Labor Market Conditions Index m/m,4.0,,4.8
,1:30pm,EUR,Medium,German Buba President Weidmann Speaks,,,
,7:50pm,JPY,Low,M2 Money Stock y/y,3.5%,3.5%,3.4%
,8:01pm,GBP,Low,BRC Retail Sales Monitor y/y,0.2%,,0.2%
,8:30pm,AUD,High,NAB Business Confidence,0,,4
,9:30pm,CNY,High,CPI y/y,1.4%,1.0%,0.8%
,,CNY,Medium,PPI y/y,-4.8%,-4.3%,-4.3%
Tue Mar 10 2015,2:00am,JPY,Low,Prelim Machine Tool Orders y/y,28.9%,,20.4%
,2:45am,CHF,Low,Unemployment Rate,3.2%,3.2%,3.2%
,3:45am,EUR,Medium,French Industrial Production m/m,0.4%,-0.2%,1.4%
,5:00am,EUR,Low,Italian Industrial Production m/m,-0.7%,0.2%,0.4%
,All Day,EUR,Medium,ECOFIN Meetings,,,
,9:00am,USD,Low,NFIB Small Business Index,98.0,99.2,97.9
,10:00am,USD,Medium,JOLTS Job Openings,5.00M,5.04M,4.88M
,,USD,Low,Final Wholesale Inventories m/m,0.3%,0.0%,0.0%
,10:35am,GBP,High,BOE Gov Carney Speaks,,,
,2:30pm,GBP,Medium,MPC Member McCafferty Speaks,,,
,6:05pm,AUD,Medium,RBA Assist Gov Kent Speaks,,,
,7:30pm,AUD,Medium,Westpac Consumer Sentiment,-1.2%,,8.0%
,7:50pm,JPY,Medium,Core Machinery Orders m/m,-1.7%,-3.9%,8.3%
,,JPY,Low,PPI y/y,0.5%,0.5%,0.3%
,8:30pm,AUD,Medium,Home Loans m/m,-3.5%,-1.9%,2.4%
Wed Mar 11 2015,1:30am,CNY,High,Industrial Production y/y,6.8%,7.7%,7.9%
,,CNY,Medium,Fixed Asset Investment ytd/y,13.9%,15.1%,15.7%
,,CNY,Low,Retail Sales y/y,10.7%,11.6%,11.9%
,2:30am,EUR,Low,French Final Private Payrolls q/q,0.0%,0.0%,0.0%
,4:00am,EUR,High,ECB President Draghi Speaks,,,
,5:30am,GBP,High,Manufacturing Production m/m,-0.5%,0.2%,0.1%
,,GBP,Low,Industrial Production m/m,-0.1%,0.2%,-0.2%
,10:30am,USD,Medium,Crude Oil Inventories,4.5M,4.5M,10.3M
,10:57am,GBP,Medium,NIESR GDP Estimate,0.6%,,0.6%
,11:00am,GBP,Medium,MPC Member Weale Speaks,,,
,1:01pm,USD,Medium,10-y Bond Auction,2.14|2.6,,2.00|2.6
,4:00pm,NZD,High,Official Cash Rate,3.50%,3.50%,3.50%
,,NZD,High,RBNZ Rate Statement,,,
,,NZD,Medium,RBNZ Monetary Policy Statement,,,
,4:05pm,NZD,High,RBNZ Press Conference,,,
,4:30pm,USD,Medium,Bank Stress Test Results,,,
,5:45pm,NZD,Low,FPI m/m,-0.7%,,1.3%
,7:50pm,JPY,Medium,BSI Manufacturing Index,2.4,5.7,8.1
,,JPY,Low,Tertiary Industry Activity m/m,1.4%,0.6%,0.0%
,8:00pm,AUD,Medium,MI Inflation Expectations,3.2%,,4.0%
,8:01pm,GBP,Low,RICS House Price Balance,14%,6%,7%
,8:05pm,GBP,Low,BOE Quarterly Bulletin,,,
,8:10pm,NZD,High,RBNZ Gov Wheeler Speaks,,,
,8:25pm,NZD,Low,REINZ HPI m/m,0.8%,,-1.0%
,8:30pm,AUD,High,Employment Change,15.6K,15.3K,-14.6K
,,AUD,High,Unemployment Rate,6.3%,6.4%,6.4%
Thu Mar 12 2015,1:00am,JPY,Low,Consumer Confidence,40.7,39.9,39.1
,2:33am,CNY,Medium,New Loans,1020B,755B,1470B
,,CNY,Low,M2 Money Supply y/y,12.5%,11.1%,10.8%
,3:00am,EUR,Low,German Final CPI m/m,0.9%,0.9%,0.9%
,3:45am,EUR,Low,French Final CPI m/m,0.7%,0.6%,-1.0%
,5:30am,GBP,Medium,Goods Trade Balance,-8.4B,-9.7B,-9.9B
,5:43am,EUR,Low,Spanish 10-y Bond Auction,1.02|1.7,,1.62|2.0
,6:00am,EUR,Medium,German Buba President Weidmann Speaks,,,
,,EUR,Low,Industrial Production m/m,-0.1%,0.3%,0.3%
,8:30am,CAD,Medium,NHPI m/m,-0.1%,0.2%,0.1%
,,CAD,Low,Capacity Utilization Rate,83.6%,83.7%,83.2%
,,USD,High,Core Retail Sales m/m,-0.1%,0.6%,-1.1%
,,USD,High,Retail Sales m/m,-0.6%,0.3%,-0.8%
,,USD,High,Unemployment Claims,289K,306K,325K
,,USD,Medium,Import Prices m/m,0.4%,0.2%,-3.1%
,8:45am,GBP,High,BOE Gov Carney Speaks,,,
,10:00am,USD,Medium,Business Inventories m/m,0.0%,0.2%,0.0%
,10:30am,USD,Low,Natural Gas Storage,-198B,-189B,-228B
,1:01pm,USD,Low,30-y Bond Auction,2.68|2.2,,2.56|2.3
,2:00pm,USD,Low,Federal Budget Balance,-192.3B,-188.9B,-17.5B
,5:30pm,NZD,Medium,BusinessNZ Manufacturing Index,55.9,,50.7
Fri Mar 13 2015,12:30am,JPY,Low,Revised Industrial Production m/m,3.7%,4.0%,4.0%
,3:00am,EUR,Low,German WPI m/m,0.5%,-0.2%,-0.4%
,5:00am,GBP,Medium,MPC Member Shafik Speaks,,,
,5:30am,GBP,Low,Construction Output m/m,-2.6%,1.4%,0.6%
,8:30am,CAD,High,Employment Change,-1.0K,-3.5K,35.4K
,,CAD,High,Unemployment Rate,6.8%,6.7%,6.6%
,,USD,High,PPI m/m,-0.5%,0.2%,-0.8%
,,USD,Medium,Core PPI m/m,-0.5%,0.1%,-0.1%
,10:00am,USD,High,Prelim UoM Consumer Sentiment,91.2,95.6,95.4
,,USD,Low,Prelim UoM Inflation Expectations,3.0%,,2.8%
,11:15am,GBP,Medium,MPC Member Haldane Speaks,,,
Sat Mar 14 2015,,,No specified,,,,
