Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jan 4 2015,5:30pm,AUD,Low,AIG Manufacturing Index,46.9,,50.1
,8:35pm,JPY,Low,Final Manufacturing PMI,52.0,52.1,52.1
Mon Jan 5 2015,All Day,EUR,High,German Prelim CPI m/m,0.0%,0.1%,0.0%
,3:00am,EUR,Medium,Spanish Unemployment Change,-64.4K,-72.0K,-14.7K
,3:30am,CHF,Low,Manufacturing PMI,54.0,52.9,52.1
,4:30am,EUR,Low,Sentix Investor Confidence,0.9,-0.9,-2.5
,,GBP,High,Construction PMI,57.6,59.2,59.4
,8:00am,USD,Medium,FOMC Member Williams Speaks,,,
,All Day,USD,Low,Total Vehicle Sales,16.9M,16.9M,17.2M
,6:50pm,JPY,Low,Monetary Base y/y,38.2%,34.3%,36.7%
,7:30pm,AUD,High,Trade Balance,-0.93B,-1.59B,-0.88B
,8:45pm,CNY,Medium,Caixin Services PMI,53.4,,53.0
,10:45pm,JPY,Low,10-y Bond Auction,0.30|3.4,,0.47|3.0
Tue Jan 6 2015,All Day,EUR,Holiday,Italian Bank Holiday,,,
,3:15am,EUR,Medium,Spanish Services PMI,54.3,52.9,52.7
,3:45am,EUR,Medium,Italian Services PMI,49.4,51.4,51.8
,3:50am,EUR,Low,French Final Services PMI,50.6,49.8,49.8
,3:55am,EUR,Medium,German Final Services PMI,52.1,51.4,51.4
,4:00am,EUR,Low,Final Services PMI,51.6,51.9,51.9
,4:30am,GBP,High,Final Services PMI,55.8,58.9,58.6
,,GBP,Medium,BOE Credit Conditions Survey,,,
,5:35am,GBP,Low,10-y Bond Auction,1.62|1.6,,2.21|1.5
,8:30am,CAD,Medium,RMPI m/m,-5.8%,-4.6%,-4.2%
,,CAD,Low,IPPI m/m,-0.4%,-0.5%,-0.6%
,9:45am,USD,Low,Final Services PMI,53.3,53.8,53.6
,9:49am,NZD,High,GDT Price Index,3.6%,,2.4%
,10:00am,USD,High,ISM Services PMI,56.2,58.2,59.3
,,USD,Medium,Factory Orders m/m,-0.7%,-0.3%,-0.7%
,5:20pm,AUD,Low,AIG Services Index,47.5,,43.8
,7:00pm,NZD,Low,ANZ Commodity Prices m/m,-4.4%,,-1.6%
,7:01pm,GBP,Low,BRC Shop Price Index y/y,-1.7%,,-1.9%
Wed Jan 7 2015,2:00am,EUR,Medium,German Retail Sales m/m,1.0%,0.2%,2.0%
,3:00am,CHF,Medium,Foreign Currency Reserves,495B,,463B
,3:55am,EUR,Medium,German Unemployment Change,-27K,-6K,-16K
,4:00am,EUR,Low,Italian Monthly Unemployment Rate,13.4%,13.3%,13.3%
,4:10am,EUR,Low,Retail PMI,47.6,,48.9
,5:00am,EUR,High,CPI Flash Estimate y/y,-0.2%,0.0%,0.3%
,,EUR,Medium,Core CPI Flash Estimate y/y,0.8%,0.6%,0.7%
,,EUR,Medium,Unemployment Rate,11.5%,11.5%,11.5%
,,EUR,Low,Italian Prelim CPI m/m,0.0%,-0.2%,-0.2%
,8:15am,USD,High,ADP Non-Farm Employment Change,241K,227K,227K
,8:30am,CAD,High,Trade Balance,-0.6B,-0.2B,-0.3B
,,USD,High,Trade Balance,-39.0B,-42.3B,-42.2B
,10:00am,CAD,High,Ivey PMI,55.4,52.3,56.9
,10:30am,USD,Medium,Crude Oil Inventories,-3.1M,0.9M,-1.8M
,2:00pm,USD,High,FOMC Meeting Minutes,,,
,6:30pm,USD,Medium,FOMC Member Evans Speaks,,,
,7:30pm,AUD,High,Building Approvals m/m,7.5%,-2.7%,11.5%
Thu Jan 8 2015,2:00am,EUR,Low,German Factory Orders m/m,-2.4%,-0.6%,2.9%
,3:00am,GBP,Medium,Halifax HPI m/m,0.9%,0.3%,0.5%
,4:59am,EUR,Low,French 10-y Bond Auction,0.79|2.0,,1.11|2.4
,5:00am,EUR,Medium,Retail Sales m/m,0.6%,0.3%,0.6%
,,EUR,Low,PPI m/m,-0.3%,-0.2%,-0.3%
,7:00am,GBP,High,Official Bank Rate,0.50%,0.50%,0.50%
,,GBP,Medium,Asset Purchase Facility,375B,375B,375B
,7:30am,USD,Low,Challenger Job Cuts y/y,6.6%,,-20.7%
,8:30am,CAD,Medium,NHPI m/m,0.1%,0.2%,0.1%
,,USD,High,Unemployment Claims,294K,291K,298K
,10:30am,USD,Low,Natural Gas Storage,-131B,-120B,-26B
,3:00pm,USD,Low,Consumer Credit m/m,14.1B,15.1B,16.0B
,4:45pm,NZD,Medium,Building Consents m/m,10.0%,,9.8%
,5:30pm,AUD,Low,AIG Construction Index,44.4,,45.4
,7:30pm,AUD,High,Retail Sales m/m,0.1%,0.3%,0.4%
,8:30pm,CNY,High,CPI y/y,1.5%,1.5%,1.4%
,,CNY,Medium,PPI y/y,-3.3%,-3.1%,-2.7%
Fri Jan 9 2015,12:00am,JPY,Low,Leading Indicators,103.8%,104.9%,104.5%
,1:45am,CHF,Low,Unemployment Rate,3.2%,3.1%,3.2%
,2:00am,EUR,Low,German Industrial Production m/m,-0.1%,0.4%,0.6%
,,EUR,Low,German Trade Balance,17.7B,19.4B,20.6B
,2:45am,EUR,Medium,French Industrial Production m/m,-0.3%,0.4%,-0.7%
,,EUR,Low,French Trade Balance,-3.2B,-4.5B,-4.3B
,3:15am,CHF,Medium,CPI m/m,-0.5%,-0.3%,0.0%
,4:30am,GBP,High,Manufacturing Production m/m,0.7%,0.4%,-0.7%
,,GBP,Medium,Goods Trade Balance,-8.8B,-9.5B,-9.8B
,,GBP,Low,Construction Output m/m,-2.0%,1.3%,-1.9%
,,GBP,Low,Industrial Production m/m,-0.1%,0.2%,-0.3%
,8:13am,CAD,Low,Housing Starts,181K,191K,195K
,8:30am,CAD,High,Building Permits m/m,-13.8%,0.8%,2.1%
,,CAD,High,Employment Change,-4.3K,10.3K,-10.7K
,,CAD,High,Unemployment Rate,6.6%,6.6%,6.6%
,,USD,High,Non-Farm Employment Change,252K,241K,353K
,,USD,High,Unemployment Rate,5.6%,5.7%,5.8%
,,USD,Medium,Average Hourly Earnings m/m,-0.2%,0.2%,0.2%
,9:49am,GBP,Medium,NIESR GDP Estimate,0.6%,,0.7%
