Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Dec 20 2015,All Day,EUR,Medium,Spanish Parliamentary Election,,,
,4:00pm,NZD,Low,Westpac Consumer Sentiment,110.7,,106.0
,4:45pm,NZD,Low,Visitor Arrivals m/m,3.9%,,0.4%
,9:00pm,NZD,Low,Credit Card Spending y/y,8.5%,,7.8%
,11:30pm,JPY,Low,All Industries Activity m/m,1.0%,0.9%,-0.2%
Mon Dec 21 2015,12:00am,JPY,Low,BOJ Monthly Report,,,
,2:00am,EUR,Low,German PPI m/m,-0.2%,-0.2%,-0.4%
,6:00am,EUR,Low,German Buba Monthly Report,,,
,,GBP,Low,CBI Realized Sales,19,22,7
,10:00am,EUR,Low,Consumer Confidence,-6,-6,-6
,7:05pm,GBP,Low,GfK Consumer Confidence,2,1,1
,9:00pm,CNY,Low,CB Leading Index m/m,0.6%,,0.3%
Tue Dec 22 2015,2:00am,CHF,Low,Trade Balance,3.14B,3.82B,4.09B
,,EUR,Low,German GfK Consumer Climate,9.4,9.3,9.3
,,EUR,Low,German Import Prices m/m,-0.2%,0.2%,-0.3%
,4:30am,GBP,Medium,Public Sector Net Borrowing,13.6B,11.9B,6.7B
,8:30am,USD,High,Final GDP q/q,2.0%,1.9%,2.1%
,,USD,Low,Final GDP Price Index q/q,1.3%,1.3%,1.3%
,8:55am,EUR,Low,Belgian NBB Business Climate,-1.4,-4.0,-3.9
,9:00am,USD,Low,HPI m/m,0.5%,0.4%,0.7%
,10:00am,USD,Medium,Existing Home Sales,4.76M,5.32M,5.32M
,,USD,Low,Richmond Manufacturing Index,6,-1,-3
,4:45pm,NZD,High,Trade Balance,-779M,-812M,-905M
,All Day,JPY,Holiday,Bank Holiday,,,
,7:50pm,USD,Medium,Personal Spending m/m,0.3%,0.3%,0.0%
Wed Dec 23 2015,2:45am,EUR,Low,French Consumer Spending m/m,-1.1%,0.2%,-0.2%
,3:00am,CHF,Medium,KOF Economic Barometer,96.6,98.9,97.3
,4:30am,GBP,High,Current Account,-17.5B,-21.3B,-17.5B
,,GBP,Medium,Final GDP q/q,0.4%,0.5%,0.5%
,,GBP,Low,Index of Services 3m/3m,0.5%,0.6%,0.6%
,,GBP,Low,Revised Business Investment q/q,2.2%,2.2%,2.2%
,5:00am,EUR,Low,Italian Retail Sales m/m,-0.3%,0.3%,-0.1%
,8:30am,CAD,High,Core Retail Sales m/m,0.0%,0.4%,-0.4%
,,CAD,High,GDP m/m,0.0%,0.2%,-0.5%
,,CAD,Medium,Retail Sales m/m,0.1%,0.4%,-0.4%
,,USD,High,Core Durable Goods Orders m/m,-0.1%,0.1%,0.6%
,,USD,Medium,Core PCE Price Index m/m,0.1%,0.1%,0.0%
,,USD,Medium,Durable Goods Orders m/m,0.0%,-0.6%,2.9%
,,USD,Low,Personal Income m/m,0.3%,0.2%,0.4%
,10:00am,USD,Medium,New Home Sales,490K,507K,470K
,,USD,Medium,Revised UoM Consumer Sentiment,92.6,92.1,91.8
,,USD,Low,Revised UoM Inflation Expectations,2.6%,,2.6%
,10:30am,USD,Medium,Crude Oil Inventories,-5.9M,1.4M,4.8M
,6:00pm,AUD,Low,CB Leading Index m/m,-0.1%,,-0.1%
,6:50pm,JPY,Medium,Monetary Policy Meeting Minutes,,,
Thu Dec 24 2015,All Day,EUR,Holiday,German Bank Holiday,,,
,4:30am,GBP,Low,High Street Lending,45.0K,46.2K,45.5K
,8:30am,USD,High,Unemployment Claims,267K,270K,272K
,10:30am,USD,Low,Natural Gas Storage,-32B,-26B,-34B
,All Day,NZD,Holiday,Bank Holiday,,,
,All Day,AUD,Holiday,Bank Holiday,,,
,6:30pm,JPY,Medium,Household Spending y/y,-2.9%,-2.1%,-2.4%
,,JPY,Medium,Tokyo Core CPI y/y,0.1%,0.1%,0.0%
,,JPY,Low,National Core CPI y/y,0.1%,0.0%,-0.1%
,,JPY,Low,Unemployment Rate,3.3%,3.2%,3.1%
,6:50pm,JPY,Low,SPPI y/y,0.2%,0.4%,0.4%
Fri Dec 25 2015,12:00am,JPY,Low,BOJ Core CPI y/y,1.2%,1.2%,1.2%
,,JPY,Low,Housing Starts y/y,1.7%,0.9%,-2.5%
,All Day,CHF,Holiday,Bank Holiday,,,
,All Day,EUR,Holiday,Italian Bank Holiday,,,
,All Day,EUR,Holiday,German Bank Holiday,,,
,All Day,EUR,Holiday,French Bank Holiday,,,
,All Day,GBP,Holiday,Bank Holiday,,,
,All Day,CAD,Holiday,Bank Holiday,,,
,All Day,USD,Holiday,Bank Holiday,,,
Sat Dec 26 2015,,,No specified,,,,
