Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jul 4 2021,6:30pm,AUD,Low,AIG Construction Index,55.5,,58.3
,9:00pm,AUD,Low,MI Inflation Gauge m/m,0.4%,,-0.2%
,,NZD,Low,ANZ Commodity Prices m/m,0.8%,,2.1%
,9:30pm,AUD,Medium,Retail Sales m/m,0.4%,0.1%,0.1%
,,AUD,Low,ANZ Job Advertisements m/m,3.0%,,6.8%
,,AUD,Low,Building Approvals m/m,-7.1%,-5.0%,-5.7%
,9:45pm,CNY,Low,Caixin Services PMI,50.3,54.8,55.1
Mon Jul 5 2021,2:45am,EUR,Low,French Industrial Production m/m,-0.3%,0.8%,0.1%
,3:15am,EUR,Low,Spanish Services PMI,62.5,60.6,59.4
,3:45am,EUR,Low,Italian Services PMI,56.7,56.3,53.1
,3:50am,EUR,Low,French Final Services PMI,57.8,57.4,57.4
,3:55am,EUR,Low,German Final Services PMI,57.5,58.1,58.1
,4:00am,EUR,Low,Final Services PMI,58.3,58.0,58.0
,4:30am,EUR,Low,Sentix Investor Confidence,29.8,30.2,28.1
,,GBP,Low,Final Services PMI,62.4,61.7,61.7
,All Day,USD,Holiday,Bank Holiday,,,
,10:30am,CAD,Medium,BOC Business Outlook Survey,,,
,6:00pm,NZD,Low,NZIER Business Confidence,7,,-13
,7:30pm,JPY,Low,Average Cash Earnings y/y,1.9%,2.1%,1.4%
,,JPY,Low,Household Spending y/y,11.6%,10.9%,13.0%
,11:35pm,JPY,Low,30-y Bond Auction,0.68|3.6,,0.69|3.4
Tue Jul 6 2021,12:30am,AUD,High,RBA Rate Statement,,,
,,AUD,Medium,Cash Rate,0.10%,0.10%,0.10%
,2:00am,AUD,High,RBA Gov Lowe Speaks,,,
,,EUR,Low,German Factory Orders m/m,-3.7%,0.9%,1.2%
,4:30am,GBP,Low,Construction PMI,66.3,63.9,64.2
,,GBP,Low,Housing Equity Withdrawal q/q,4.0B,-3.7B,0.0B
,5:00am,EUR,Medium,ZEW Economic Sentiment,61.2,79.0,81.3
,,EUR,Medium,German ZEW Economic Sentiment,63.3,75.0,79.8
,,EUR,Low,Retail Sales m/m,4.6%,4.3%,-3.9%
,5:03am,GBP,Low,10-y Bond Auction,0.82|2.7,,0.94|2.6
,9:45am,USD,Low,Final Services PMI,64.6,64.8,64.8
,10:00am,USD,High,ISM Services PMI,60.1,63.4,64.0
,10:01am,NZD,Low,GDT Price Index,-3.6%,,-1.3%
,6:30pm,AUD,Low,AIG Services Index,57.8,,61.2
Wed Jul 7 2021,1:00am,JPY,Low,Leading Indicators,102.6%,102.8%,103.8%
,2:00am,EUR,Low,German Industrial Production m/m,-0.3%,0.5%,-0.3%
,2:45am,EUR,Low,French Trade Balance,-6.8B,-6.0B,-6.3B
,3:00am,CHF,Low,Foreign Currency Reserves,941B,,903B
,3:29am,GBP,Low,Halifax HPI m/m,-0.5%,1.5%,1.2%
,4:00am,EUR,Low,Italian Retail Sales m/m,0.2%,3.1%,-0.1%
,5:00am,EUR,Medium,EU Economic Forecasts,,,
,10:00am,CAD,Medium,Ivey PMI,71.9,65.0,64.7
,,USD,Medium,JOLTS Job Openings,9.21M,9.30M,9.19M
,10:01am,USD,Low,IBD/TIPP Economic Optimism,54.3,57.3,56.4
,2:00pm,USD,High,FOMC Meeting Minutes,,,
,3:30pm,USD,Low,FOMC Member Bostic Speaks,,,
,7:01pm,GBP,Low,RICS House Price Balance,83%,80%,82%
,7:50pm,JPY,Low,Bank Lending y/y,1.4%,3.0%,2.8%
,,JPY,Low,Current Account,1.87T,1.59T,1.55T
,10:30pm,AUD,High,RBA Gov Lowe Speaks,,,
Thu Jul 8 2021,1:00am,JPY,Low,Economy Watchers Sentiment,47.6,41.9,38.1
,1:45am,CHF,Low,Unemployment Rate,3.1%,2.9%,3.2%
,2:00am,EUR,Low,German Trade Balance,12.6B,15.8B,15.6B
,8:30am,EUR,Medium,ECB President Lagarde Speaks,,,
,,USD,Medium,Unemployment Claims,373K,345K,371K
,10:30am,USD,Low,Natural Gas Storage,16B,29B,76B
,11:00am,USD,Medium,Crude Oil Inventories,-6.9M,-4.0M,-6.7M
,3:00pm,USD,Low,Consumer Credit m/m,35.3B,17.9B,20.0B
,7:50pm,JPY,Low,M2 Money Stock y/y,5.9%,6.0%,7.9%
,9:32pm,CNY,Low,CPI y/y,1.1%,1.3%,1.3%
,9:33pm,CNY,Low,PPI y/y,8.8%,8.8%,9.0%
Fri Jul 9 2021,2:00am,GBP,Low,Construction Output m/m,-0.8%,0.9%,-0.7%
,,GBP,Low,GDP m/m,0.8%,1.5%,2.0%
,,GBP,Low,Index of Services 3m/3m,3.9%,4.0%,1.4%
,,GBP,Low,Industrial Production m/m,0.8%,1.3%,-1.0%
,,GBP,Low,Manufacturing Production m/m,-0.1%,0.9%,-0.3%
,4:00am,EUR,Low,Italian Industrial Production m/m,-1.5%,0.3%,1.5%
,5:00am,CNY,Low,M2 Money Supply y/y,8.6%,8.2%,8.3%
,,CNY,Low,New Loans,2120B,1825B,1500B
,6:00am,EUR,Medium,ECB President Lagarde Speaks,,,
,,GBP,High,BOE Gov Bailey Speaks,,,
,7:00am,GBP,Low,Goods Trade Balance,-8.5B,-11.0B,-10.9B
,7:30am,EUR,Low,ECB Monetary Policy Meeting Accounts,,,
,8:30am,CAD,High,Employment Change,230.7K,172.5K,-68.0K
,,CAD,High,Unemployment Rate,7.8%,7.8%,8.2%
,8:35am,GBP,Low,NIESR GDP Estimate,4.8%,,3.6%
,10:00am,USD,Low,Final Wholesale Inventories m/m,1.3%,1.1%,1.1%
