Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jan 5 2020,1:15pm,CAD,Medium,Gov Council Member Wilkins Speaks,,,
,,GBP,Medium,MPC Member Broadbent Speaks,,,
,,USD,Medium,FOMC Member Williams Speaks,,,
,4:30pm,AUD,Low,AIG Manufacturing Index,48.3,,48.1
,7:30pm,JPY,Low,Final Manufacturing PMI,48.4,48.8,48.8
,8:45pm,CNY,Low,Caixin Services PMI,52.5,53.2,53.5
Mon Jan 6 2020,2:00am,EUR,Low,German Retail Sales m/m,2.1%,1.1%,-1.3%
,All Day,EUR,Holiday,Italian Bank Holiday,,,
,3:15am,EUR,Low,Spanish Services PMI,54.9,53.9,53.2
,3:45am,EUR,Low,Italian Services PMI,51.1,50.9,50.4
,3:50am,EUR,Low,French Final Services PMI,52.4,52.4,52.4
,3:55am,EUR,Low,German Final Services PMI,52.9,52.0,52.0
,4:00am,EUR,Low,Final Services PMI,52.8,52.4,52.4
,4:30am,EUR,Low,Sentix Investor Confidence,7.6,3.0,0.7
,,GBP,Low,Final Services PMI,50.0,49.1,49.0
,5:00am,EUR,Low,PPI m/m,0.2%,0.1%,0.0%
,8:30am,CAD,Medium,RMPI m/m,1.5%,1.5%,-1.9%
,,CAD,Low,IPPI m/m,0.1%,0.4%,0.0%
,9:45am,USD,Low,Final Services PMI,52.8,52.2,52.2
,6:50pm,JPY,Low,Monetary Base y/y,3.2%,3.6%,3.3%
,7:30pm,AUD,Low,ANZ Job Advertisements m/m,-6.7%,,-1.8%
,10:35pm,JPY,Low,10-y Bond Auction,-0.01|3.7,,-0.04|3.3
Tue Jan 7 2020,2:30am,CHF,Medium,CPI m/m,0.0%,-0.1%,-0.1%
,4:55am,GBP,Low,Housing Equity Withdrawal q/q,-6.3B,-7.2B,-7.6B
,5:00am,EUR,Medium,CPI Flash Estimate y/y,1.3%,1.3%,1.0%
,,EUR,Low,Core CPI Flash Estimate y/y,1.3%,1.3%,1.3%
,,EUR,Low,Italian Prelim CPI m/m,0.2%,0.2%,-0.2%
