Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jan 21 2018,All Day,All,Medium,OPEC-JMMC Meetings,,,
Mon Jan 22 2018,All Day,EUR,Low,Eurogroup Meetings,,,
,6:00am,EUR,Low,German Buba Monthly Report,,,
,8:30am,CAD,Medium,Wholesale Sales m/m,0.7%,1.0%,1.6%
,10:14pm,JPY,High,BOJ Outlook Report,,,
,,JPY,High,Monetary Policy Statement,,,
,,JPY,Medium,BOJ Policy Rate,-0.10%,-0.10%,-0.10%
,11:30pm,JPY,Low,All Industries Activity m/m,1.0%,0.9%,0.3%
Tue Jan 23 2018,1:30am,JPY,High,BOJ Press Conference,,,
,Day 1,All,Medium,WEF Annual Meetings,,,
,4:30am,GBP,Medium,Public Sector Net Borrowing,1.0B,4.2B,6.6B
,5:00am,EUR,Medium,German ZEW Economic Sentiment,20.4,17.8,17.4
,,EUR,Low,ZEW Economic Sentiment,31.8,29.7,29.0
,All Day,EUR,Low,ECOFIN Meetings,,,
,6:00am,GBP,Low,CBI Industrial Order Expectations,14,13,17
,9:59am,USD,Low,Richmond Manufacturing Index,14,19,20
,10:00am,EUR,Low,Consumer Confidence,1,1,1
,6:30pm,AUD,Low,MI Leading Index m/m,0.3%,,0.1%
,6:50pm,JPY,Low,Trade Balance,0.09T,0.27T,0.29T
,7:30pm,JPY,Low,Flash Manufacturing PMI,54.4,54.3,54.0
,9:00pm,NZD,Low,Credit Card Spending y/y,6.3%,,9.1%
Wed Jan 24 2018,3:00am,EUR,Medium,French Flash Manufacturing PMI,58.1,58.7,58.8
,,EUR,Medium,French Flash Services PMI,59.3,58.9,59.1
,3:30am,EUR,Medium,German Flash Manufacturing PMI,61.2,63.2,63.3
,,EUR,Medium,German Flash Services PMI,57.0,55.6,55.8
,4:00am,EUR,Medium,Flash Manufacturing PMI,59.6,60.4,60.6
,,EUR,Medium,Flash Services PMI,57.6,56.5,56.6
,Day 2,All,Medium,WEF Annual Meetings,,,
,4:30am,GBP,High,Average Earnings Index 3m/y,2.5%,2.5%,2.5%
,,GBP,Medium,Claimant Count Change,8.6K,2.3K,12.2K
,,GBP,Medium,Unemployment Rate,4.3%,4.3%,4.3%
,9:00am,USD,Low,HPI m/m,0.4%,0.4%,0.6%
,9:45am,USD,Low,Flash Manufacturing PMI,55.5,55.2,55.1
,,USD,Low,Flash Services PMI,53.3,54.5,53.7
,10:00am,USD,Medium,Existing Home Sales,5.57M,5.72M,5.78M
,10:30am,AUD,Low,CB Leading Index m/m,0.3%,,0.3%
,,USD,High,Crude Oil Inventories,-1.1M,-1.0M,-6.9M
,4:45pm,NZD,High,CPI q/q,0.1%,0.4%,0.5%
Thu Jan 25 2018,2:00am,EUR,Low,German GfK Consumer Climate,11.0,10.8,10.8
,3:00am,EUR,Medium,Spanish Unemployment Rate,16.6%,16.1%,16.4%
,4:00am,EUR,Medium,German ifo Business Climate,117.6,117.1,117.2
,Day 3,All,Medium,WEF Annual Meetings,,,
,4:30am,GBP,Low,High Street Lending,36.1K,39.9K,39.0K
,6:00am,GBP,Low,CBI Realized Sales,12,12,20
,7:45am,EUR,High,Main Refinancing Rate,0.00%,0.00%,0.00%
,,EUR,High,Monetary Policy Statement,,,
,8:30am,CAD,High,Core Retail Sales m/m,1.6%,0.8%,0.8%
,,CAD,Medium,Retail Sales m/m,0.2%,0.7%,1.6%
,,EUR,High,ECB Press Conference,,,
,,USD,Medium,Unemployment Claims,233K,239K,216K
,9:00am,EUR,Low,Belgian NBB Business Climate,1.8,0.4,0.1
,10:00am,USD,Medium,New Home Sales,625K,679K,689K
,,USD,Low,CB Leading Index m/m,0.6%,0.5%,0.4%
,10:30am,USD,Low,Natural Gas Storage,-288B,-270B,-183B
,All Day,AUD,Holiday,Bank Holiday,,,
,6:30pm,JPY,Low,National Core CPI y/y,0.9%,0.9%,0.9%
,,JPY,Low,Tokyo Core CPI y/y,0.7%,0.8%,0.8%
,6:50pm,JPY,Low,Monetary Policy Meeting Minutes,,,
,,JPY,Low,SPPI y/y,0.8%,0.8%,0.8%
Fri Jan 26 2018,4:00am,EUR,Medium,M3 Money Supply y/y,4.6%,4.9%,4.9%
,,EUR,Low,Private Loans y/y,2.8%,2.9%,2.8%
,Day 4,All,Medium,WEF Annual Meetings,,,
,4:30am,GBP,High,Prelim GDP q/q,0.5%,0.4%,0.4%
,,GBP,Low,Index of Services 3m/3m,0.4%,0.4%,0.3%
,8:07am,USD,High,President Trump Speaks,,,
,8:30am,CAD,High,CPI m/m,-0.4%,-0.3%,0.3%
,,CAD,Medium,Common CPI y/y,1.6%,,1.5%
,,CAD,Medium,Median CPI y/y,1.9%,,1.9%
,,CAD,Medium,Trimmed CPI y/y,1.9%,,1.8%
,,USD,High,Advance GDP q/q,2.6%,3.0%,3.2%
,,USD,High,Core Durable Goods Orders m/m,0.6%,0.5%,0.3%
,,USD,Medium,Advance GDP Price Index q/q,2.4%,2.3%,2.1%
,,USD,Medium,Durable Goods Orders m/m,2.9%,0.9%,1.7%
,,USD,Low,Goods Trade Balance,-71.6B,-68.6B,-70.0B
,,USD,Low,Prelim Wholesale Inventories m/m,0.2%,0.4%,0.8%
,8:33am,CAD,Low,Core CPI m/m,-0.5%,,-0.1%
,9:00am,CNY,Low,CB Leading Index m/m,1.7%,,1.9%
,,GBP,High,BOE Gov Carney Speaks,,,
,,JPY,High,BOJ Gov Kuroda Speaks,,,
Sat Jan 27 2018,,,No specified,,,,
