Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Nov 8 2015,7:30pm,AUD,Medium,ANZ Job Advertisements m/m,0.4%,,3.8%
,8:30pm,JPY,Low,Average Cash Earnings y/y,0.6%,0.5%,0.4%
Mon Nov 9 2015,2:00am,EUR,Low,German Trade Balance,19.4B,20.3B,19.6B
,4:30am,EUR,Low,Sentix Investor Confidence,15.1,12.4,11.7
,All Day,EUR,Medium,Eurogroup Meetings,,,
,8:13am,CAD,Low,Housing Starts,198K,200K,232K
,10:00am,USD,Low,Labor Market Conditions Index m/m,1.6,,1.3
,6:50pm,JPY,Medium,Current Account,0.78T,1.50T,1.59T
,,JPY,Low,Bank Lending y/y,2.5%,,2.6%
,7:01pm,GBP,Low,BRC Retail Sales Monitor y/y,-0.2%,,2.6%
,7:30pm,AUD,High,NAB Business Confidence,2,,5
,,AUD,Medium,Home Loans m/m,2.0%,0.1%,1.5%
,8:30pm,CNY,High,CPI y/y,1.3%,1.5%,1.6%
,,CNY,Medium,PPI y/y,-5.9%,-5.9%,-5.9%
Tue Nov 10 2015,12:00am,JPY,Low,Economy Watchers Sentiment,48.2,48.2,47.5
,1:45am,CHF,Low,Unemployment Rate,3.4%,3.4%,3.4%
,2:45am,EUR,Low,French Industrial Production m/m,0.1%,0.1%,1.7%
,4:00am,EUR,Medium,German Buba President Weidmann Speaks,,,
,,EUR,Low,Italian Industrial Production m/m,0.2%,0.5%,-0.5%
,All Day,EUR,Medium,ECOFIN Meetings,,,
,5:58am,USD,Low,NFIB Small Business Index,96.1,96.4,96.1
,8:30am,USD,Medium,Import Prices m/m,-0.5%,-0.1%,-0.6%
,10:00am,USD,Low,Final Wholesale Inventories m/m,0.5%,0.0%,0.3%
,12:00pm,CAD,Medium,Gov Council Member Wilkins Speaks,,,
,12:30pm,GBP,Medium,MPC Member Cunliffe Speaks,,,
,1:01pm,USD,Low,10-y Bond Auction,2.30|2.6,,2.07|2.6
,3:00pm,NZD,High,RBNZ Financial Stability Report,,,
,3:05pm,NZD,High,RBNZ Gov Wheeler Speaks,,,
,5:15pm,USD,Medium,FOMC Member Evans Speaks,,,
,6:30pm,AUD,Medium,Westpac Consumer Sentiment,3.9%,,4.2%
,6:50pm,JPY,Low,M2 Money Stock y/y,3.6%,3.8%,3.8%
Wed Nov 11 2015,12:30am,CNY,High,Industrial Production y/y,5.6%,5.8%,5.7%
,,CNY,Medium,Fixed Asset Investment ytd/y,10.2%,10.2%,10.3%
,,CNY,Low,Retail Sales y/y,11.0%,10.9%,10.9%
,1:03am,JPY,Low,Prelim Machine Tool Orders y/y,-23.1%,,-19.1%
,All Day,EUR,Holiday,French Bank Holiday,,,
,2:00am,EUR,Low,German WPI m/m,-0.4%,0.2%,-0.6%
