Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Nov 15 2020,6:50pm,JPY,Low,Prelim GDP Price Index y/y,1.1%,1.0%,1.3%
,,JPY,Low,Prelim GDP q/q,5.0%,4.4%,-7.9%
,7:01pm,GBP,Low,Rightmove HPI m/m,-0.5%,,1.1%
,7:41pm,CNY,Low,Foreign Direct Investment ytd/y,6.4%,,5.2%
,9:00pm,CNY,Low,Fixed Asset Investment ytd/y,1.8%,1.6%,0.8%
,,CNY,Low,Industrial Production y/y,6.9%,6.7%,6.9%
,,CNY,Low,Retail Sales y/y,4.3%,5.1%,3.3%
,,CNY,Low,Unemployment Rate,5.3%,5.3%,5.4%
,11:30pm,JPY,Low,Revised Industrial Production m/m,3.9%,4.0%,4.0%
Mon Nov 16 2020,3:25am,AUD,High,RBA Gov Lowe Speaks,,,
,6:00am,EUR,Low,German Buba Monthly Report,,,
,8:00am,EUR,Medium,ECB President Lagarde Speaks,,,
,8:30am,CAD,Low,Manufacturing Sales m/m,1.5%,1.7%,-1.4%
,,USD,Low,Empire State Manufacturing Index,6.3,13.8,10.5
,10:30am,AUD,Low,CB Leading Index m/m,-0.2%,,0.7%
,12:30pm,GBP,Low,MPC Member Haskel Speaks,,,
,2:00pm,USD,Low,FOMC Member Clarida Speaks,,,
,4:00pm,USD,Low,FOMC Financial Stability Report,,,
,5:30pm,AUD,Medium,RBA Assist Gov Kent Speaks,,,
,7:30pm,AUD,High,Monetary Policy Meeting Minutes,,,
Tue Nov 17 2020,4:02am,EUR,Low,Italian Trade Balance,5.85B,4.30B,3.93B
,All Day,All,High,OPEC-JMMC Meetings,,,
,All Day,EUR,Low,ECOFIN Meetings,,,
,6:00am,GBP,Medium,BOE Gov Bailey Speaks,,,
,6:32am,GBP,Low,30-y Bond Auction,0.92|2.3,,0.84|2.2
,8:13am,CAD,Low,Housing Starts,215K,220K,209K
,8:30am,CAD,Low,Foreign Securities Purchases,4.46B,5.00B,15.51B
,,CAD,Low,Wholesale Sales m/m,0.9%,0.4%,0.2%
,,USD,High,Core Retail Sales m/m,0.2%,0.6%,1.2%
,,USD,High,Retail Sales m/m,0.3%,0.5%,1.6%
,,USD,Low,Import Prices m/m,-0.1%,0.2%,0.2%
,9:15am,USD,Low,Capacity Utilization Rate,72.8%,72.3%,72.0%
,,USD,Low,Industrial Production m/m,1.1%,1.1%,-0.4%
,9:32am,NZD,Low,GDT Price Index,1.8%,,-2.0%
,10:00am,USD,Low,Business Inventories m/m,0.7%,0.5%,0.3%
,,USD,Low,NAHB Housing Market Index,90,85,85
,11:00am,EUR,Medium,ECB President Lagarde Speaks,,,
,12:00pm,GBP,Low,MPC Member Ramsden Speaks,,,
,1:00pm,USD,High,Fed Chair Powell Speaks,,,
,,USD,Low,FOMC Member Brainard Speaks,,,
,4:00pm,USD,Low,TIC Long-Term Purchases,108.9B,41.5B,27.8B
,4:45pm,NZD,Low,PPI Input q/q,0.6%,-0.1%,-0.9%
,,NZD,Low,PPI Output q/q,-0.3%,0.0%,-0.2%
,5:00pm,AUD,High,RBA Gov Lowe Speaks,,,
,6:30pm,AUD,Low,MI Leading Index m/m,0.1%,,0.2%
,6:50pm,JPY,Low,Trade Balance,0.31T,0.11T,0.44T
,7:30pm,AUD,Low,Wage Price Index q/q,0.1%,0.2%,0.2%
Wed Nov 18 2020,2:00am,GBP,Low,CPI y/y,0.7%,0.5%,0.5%
,,GBP,Low,Core CPI y/y,1.5%,1.3%,1.3%
,,GBP,Low,RPI y/y,1.3%,1.2%,1.1%
,2:02am,GBP,Low,PPI Input m/m,0.2%,0.0%,0.3%
,,GBP,Low,PPI Output m/m,0.0%,0.1%,-0.1%
,4:30am,GBP,Low,HPI y/y,4.7%,2.9%,3.0%
,5:00am,EUR,Low,Final CPI y/y,-0.3%,-0.3%,-0.3%
,,EUR,Low,Final Core CPI y/y,0.2%,0.2%,0.2%
,5:30am,GBP,Low,MPC Member Haldane Speaks,,,
,5:34am,EUR,Low,German 10-y Bond Auction,-0.57|2.0,,-0.51|2.1
,8:30am,CAD,High,CPI m/m,0.4%,0.2%,-0.1%
,,CAD,Low,Common CPI y/y,1.6%,1.5%,1.5%
,,CAD,Low,Median CPI y/y,1.9%,1.9%,1.9%
,,CAD,Low,Trimmed CPI y/y,1.8%,1.8%,1.7%
,,USD,Low,Building Permits,1.55M,1.57M,1.55M
,,USD,Low,Housing Starts,1.53M,1.45M,1.46M
,8:32am,CAD,Low,Core CPI m/m,0.4%,,0.1%
,10:30am,USD,Low,Crude Oil Inventories,0.8M,1.7M,4.3M
,12:15pm,USD,Low,FOMC Member Williams Speaks,,,
,7:30pm,AUD,High,Employment Change,178.8K,-26.7K,-42.5K
,,AUD,High,Unemployment Rate,7.0%,7.1%,6.9%
Thu Nov 19 2020,2:00am,CHF,Low,Trade Balance,3.86B,3.55B,3.05B
,3:00am,EUR,Medium,ECB President Lagarde Speaks,,,
,4:00am,EUR,Low,Current Account,25.2B,18.1B,20.9B
,6:00am,GBP,Low,CBI Industrial Order Expectations,-40,-39,-34
,8:30am,CAD,High,ADP Non-Farm Employment Change,-79.5K,,-564.4K
,,USD,Medium,Philly Fed Manufacturing Index,26.3,22.0,32.3
,,USD,Medium,Unemployment Claims,742K,707K,711K
,10:00am,EUR,Medium,ECB President Lagarde Speaks,,,
,,USD,Medium,CB Leading Index m/m,0.7%,0.7%,0.7%
,,USD,Low,Existing Home Sales,6.85M,6.45M,6.57M
,10:30am,USD,Low,Natural Gas Storage,31B,22B,8B
,6:30pm,JPY,Low,National Core CPI y/y,-0.7%,-0.7%,-0.3%
,7:01pm,GBP,Low,GfK Consumer Confidence,-33,-33,-31
,7:30pm,AUD,Low,Retail Sales m/m,1.6%,,-1.1%
,,JPY,Low,Flash Manufacturing PMI,48.3,49.4,48.7
,9:00pm,NZD,Low,Credit Card Spending y/y,-6.3%,,-9.8%
Fri Nov 20 2020,2:00am,EUR,Low,German PPI m/m,0.1%,0.1%,0.4%
,,GBP,Medium,Retail Sales m/m,1.2%,-0.3%,1.4%
,,GBP,Low,Public Sector Net Borrowing,21.6B,31.6B,27.9B
,3:15am,EUR,Medium,ECB President Lagarde Speaks,,,
,8:30am,CAD,Medium,Core Retail Sales m/m,1.0%,0.0%,0.5%
,,CAD,Medium,Retail Sales m/m,1.1%,0.2%,0.5%
,,CAD,Low,NHPI m/m,0.8%,0.8%,1.2%
,,USD,Low,FOMC Member Kaplan Speaks,,,
,8:32am,CAD,Low,Corporate Profits q/q,44.9%,,-8.0%
,9:50am,EUR,Low,Consumer Confidence,-18,-18,-16
Sat Nov 21 2020,Day 1,All,Medium,G20 Meetings,,,
