Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Jun 25 2017,7:50pm,JPY,Low,BOJ Summary of Opinions,,,
,,JPY,Low,SPPI y/y,0.7%,0.7%,0.8%
Mon Jun 26 2017,4:00am,EUR,Medium,German ifo Business Climate,115.1,114.7,114.6
,4:30am,GBP,Low,High Street Lending,40.3K,40.3K,40.7K
,6:00am,EUR,Low,German Buba Monthly Report,,,
,8:30am,USD,High,Core Durable Goods Orders m/m,0.1%,0.4%,-0.5%
,,USD,Medium,Durable Goods Orders m/m,-1.1%,-0.5%,-0.8%
,2:45pm,EUR,High,ECB President Draghi Speaks,,,
,6:45pm,NZD,Low,Trade Balance,103M,420M,536M
Tue Jun 27 2017,4:00am,EUR,High,ECB President Draghi Speaks,,,
,4:30am,AUD,Low,RBA Deputy Gov Debelle Speaks,,,
,5:30am,GBP,High,BOE Financial Stability Report,,,
,,GBP,Low,FPC Statement,,,
,6:00am,GBP,High,BOE Gov Carney Speaks,,,
,,GBP,Low,CBI Realized Sales,12,4,2
,9:00am,USD,Low,S&P/CS Composite-20 HPI y/y,5.7%,5.9%,5.9%
,9:59am,USD,Low,Richmond Manufacturing Index,7,4,1
,10:00am,USD,High,CB Consumer Confidence,118.9,116.1,117.6
,11:15am,USD,Medium,FOMC Member Harker Speaks,,,
,1:00pm,USD,High,Fed Chair Yellen Speaks,,,
,5:30pm,USD,Medium,FOMC Member Kashkari Speaks,,,
,10:00pm,NZD,Medium,RBNZ Statement of Intent,,,
Wed Jun 28 2017,2:00am,CHF,Low,UBS Consumption Indicator,1.39,,1.34
,,EUR,Low,German Import Prices m/m,-1.0%,-0.6%,-0.1%
,,GBP,Low,Nationwide HPI m/m,1.1%,0.1%,-0.2%
,4:00am,CHF,Low,Credit Suisse Economic Expectations,20.7,,30.8
,,EUR,Medium,M3 Money Supply y/y,5.0%,5.0%,4.9%
,,EUR,Low,Private Loans y/y,2.6%,2.5%,2.4%
,5:00am,EUR,Low,Italian Prelim CPI m/m,-0.1%,0.1%,-0.2%
,8:30am,USD,Low,Goods Trade Balance,-65.9B,-66.2B,-67.1B
,,USD,Low,Prelim Wholesale Inventories m/m,0.3%,0.2%,-0.5%
,9:30am,CAD,High,BOC Gov Poloz Speaks,,,
,,EUR,High,ECB President Draghi Speaks,,,
,,GBP,High,BOE Gov Carney Speaks,,,
,,JPY,High,BOJ Gov Kuroda Speaks,,,
,10:00am,USD,Medium,Pending Home Sales m/m,-0.8%,0.9%,-1.7%
,10:30am,USD,High,Crude Oil Inventories,0.1M,-2.1M,-2.5M
,2:20pm,CAD,Low,Gov Council Member Patterson Speaks,,,
,4:30pm,USD,Low,Bank Stress Test Results,,,
,7:50pm,JPY,Low,Retail Sales y/y,2.0%,2.6%,3.2%
,9:00pm,AUD,Low,HIA New Home Sales m/m,1.1%,,0.8%
,,NZD,Medium,ANZ Business Confidence,24.8,,14.9
Thu Jun 29 2017,2:00am,EUR,Low,German GfK Consumer Climate,10.6,10.4,10.4
,All Day,EUR,Medium,German Prelim CPI m/m,0.2%,0.0%,-0.2%
,3:00am,EUR,Medium,Spanish Flash CPI y/y,1.5%,1.6%,1.9%
,All Day,EUR,Holiday,Italian Bank Holiday,,,
,4:30am,GBP,Medium,Net Lending to Individuals m/m,5.3B,4.0B,4.2B
,,GBP,Low,M4 Money Supply m/m,-0.1%,1.3%,1.3%
,,GBP,Low,Mortgage Approvals,65K,64K,65K
,8:30am,USD,High,Final GDP q/q,1.4%,1.2%,1.2%
,,USD,High,Unemployment Claims,244K,241K,242K
,,USD,Low,Final GDP Price Index q/q,1.9%,2.2%,2.2%
,10:30am,USD,Low,Natural Gas Storage,46B,50B,61B
,6:45pm,NZD,Low,Building Consents m/m,7.0%,,-7.4%
,7:01pm,GBP,Low,GfK Consumer Confidence,-10,-7,-5
,7:30pm,JPY,Low,Household Spending y/y,-0.1%,-0.7%,-1.4%
,,JPY,Low,National Core CPI y/y,0.4%,0.4%,0.3%
,,JPY,Low,Tokyo Core CPI y/y,0.0%,0.2%,0.1%
,,JPY,Low,Unemployment Rate,3.1%,2.8%,2.8%
,7:50pm,JPY,Low,Prelim Industrial Production m/m,-3.3%,-3.1%,4.0%
,9:00pm,CNY,Medium,Manufacturing PMI,51.7,51.0,51.2
,,CNY,Medium,Non-Manufacturing PMI,54.9,,54.5
,9:30pm,AUD,Low,Private Sector Credit m/m,0.4%,0.4%,0.4%
Fri Jun 30 2017,1:00am,JPY,Low,Housing Starts y/y,-0.3%,-1.1%,1.9%
,2:00am,EUR,Medium,German Retail Sales m/m,0.5%,0.3%,-0.2%
,2:45am,EUR,Low,French Consumer Spending m/m,1.0%,0.5%,0.4%
,,EUR,Low,French Prelim CPI m/m,0.0%,0.0%,0.0%
,3:00am,CHF,Medium,KOF Economic Barometer,105.5,102.5,102.0
