Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Apr 22 2018,Day 3,All,Low,IMF Meetings,,,
,8:30pm,JPY,Low,Flash Manufacturing PMI,53.3,53.4,53.1
,11:00pm,NZD,Low,Credit Card Spending y/y,7.2%,,7.0%
Mon Apr 23 2018,3:00am,EUR,Medium,French Flash Manufacturing PMI,53.4,53.4,53.7
,,EUR,Medium,French Flash Services PMI,57.4,56.6,56.9
,3:30am,EUR,Medium,German Flash Manufacturing PMI,58.1,57.6,58.2
,,EUR,Medium,German Flash Services PMI,54.1,53.9,53.9
,4:00am,EUR,Medium,Flash Manufacturing PMI,56.0,56.6,56.6
,,EUR,Medium,Flash Services PMI,55.0,54.8,54.9
,6:00am,EUR,Low,German Buba Monthly Report,,,
,8:30am,CAD,Low,Wholesale Sales m/m,-0.8%,0.3%,0.3%
,9:45am,USD,Low,Flash Manufacturing PMI,56.5,55.2,55.6
,,USD,Low,Flash Services PMI,54.4,54.3,54.0
,10:00am,USD,Medium,Existing Home Sales,5.60M,5.55M,5.54M
,10:30am,AUD,Low,CB Leading Index m/m,0.3%,,-0.3%
,3:30pm,CAD,High,BOC Gov Poloz Speaks,,,
,6:00pm,AUD,Medium,RBA Assist Gov Kent Speaks,,,
,6:45pm,NZD,Low,Visitor Arrivals m/m,-2.1%,,3.6%
,7:50pm,JPY,Low,SPPI y/y,0.5%,0.5%,0.7%
,9:30pm,AUD,High,CPI q/q,0.4%,0.5%,0.6%
,,AUD,High,Trimmed Mean CPI q/q,0.5%,0.5%,0.4%
Tue Apr 24 2018,1:00am,JPY,Low,BOJ Core CPI y/y,0.7%,0.7%,0.8%
,2:00am,CHF,Low,Trade Balance,1.77B,3.23B,3.08B
,4:00am,EUR,Medium,German ifo Business Climate,102.1,102.7,103.3
,4:30am,GBP,Medium,Public Sector Net Borrowing,-0.3B,1.1B,-0.4B
,6:00am,GBP,Low,CBI Industrial Order Expectations,4,4,4
,8:58am,EUR,Low,Belgian NBB Business Climate,1.0,-0.6,0.1
,9:00am,USD,Low,HPI m/m,0.6%,0.5%,0.9%
,,USD,Low,S&P/CS Composite-20 HPI y/y,6.8%,6.3%,6.4%
,9:59am,USD,Low,Richmond Manufacturing Index,-3,16,15
,10:00am,USD,High,CB Consumer Confidence,128.7,126.0,127.0
,,USD,Low,New Home Sales,694K,625K,667K
,All Day,NZD,Holiday,Bank Holiday,,,
,All Day,AUD,Holiday,Bank Holiday,,,
Wed Apr 25 2018,12:30am,JPY,Low,All Industries Activity m/m,0.4%,0.6%,-1.1%
,All Day,EUR,Holiday,Italian Bank Holiday,,,
,4:00am,CHF,Low,Credit Suisse Economic Expectations,7.2,,16.7
,9:00am,CNY,Low,CB Leading Index m/m,1.7%,,1.2%
,10:30am,USD,High,Crude Oil Inventories,2.2M,-1.6M,-1.1M
,4:15pm,CAD,High,BOC Gov Poloz Speaks,,,
,9:30pm,AUD,Low,Import Prices q/q,2.1%,1.3%,2.0%
Thu Apr 26 2018,2:00am,EUR,Low,German GfK Consumer Climate,10.8,10.9,10.9
,3:00am,EUR,Medium,Spanish Unemployment Rate,16.7%,16.3%,16.6%
,4:30am,GBP,Low,High Street Lending,37.6K,37.1K,38.0K
