Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
Sun Feb 21 2016,5:10pm,AUD,Medium,RBA Deputy Gov Debelle Speaks,,,
,9:00pm,JPY,Low,Flash Manufacturing PMI,50.2,52.0,52.3
,,NZD,Low,Credit Card Spending y/y,8.9%,,7.4%
Mon Feb 22 2016,3:00am,EUR,Medium,French Flash Manufacturing PMI,50.3,49.9,50.0
,,EUR,Medium,French Flash Services PMI,49.8,50.4,50.3
,3:15am,CHF,Medium,PPI m/m,-0.4%,-0.2%,-0.4%
,3:30am,EUR,Medium,German Flash Manufacturing PMI,50.2,52.1,52.3
,,EUR,Medium,German Flash Services PMI,55.1,54.8,55.0
,4:00am,EUR,Medium,Flash Manufacturing PMI,51.0,52.1,52.3
,,EUR,Medium,Flash Services PMI,53.0,53.4,53.6
,6:00am,GBP,Low,CBI Industrial Order Expectations,-17,-11,-15
,9:45am,USD,Low,Flash Manufacturing PMI,51.0,52.3,52.4
,10:30am,AUD,Low,CB Leading Index m/m,-0.2%,,0.3%
Tue Feb 23 2016,2:00am,EUR,Low,German Final GDP q/q,0.3%,0.3%,0.3%
,4:00am,EUR,High,German ifo Business Climate,105.7,107.0,107.3
,5:00am,GBP,High,Monetary Policy Report Hearings,,,
,6:15am,CHF,High,SNB Chairman Jordan Speaks,,,
,9:00am,EUR,Low,Belgian NBB Business Climate,-6.6,-3.5,-3.0
,,USD,Low,S&P/CS Composite-20 HPI y/y,5.7%,5.8%,5.7%
,10:00am,USD,High,CB Consumer Confidence,92.2,97.4,97.8
,,USD,Medium,Existing Home Sales,5.47M,5.37M,5.45M
,,USD,Low,Richmond Manufacturing Index,-4,2,2
,12:00pm,GBP,Medium,MPC Member Haldane Speaks,,,
,6:50pm,JPY,Low,SPPI y/y,0.2%,0.3%,0.4%
,7:30pm,AUD,Medium,Construction Work Done q/q,-3.6%,-2.1%,-1.8%
,,AUD,Medium,Wage Price Index q/q,0.5%,0.6%,0.6%
,8:30pm,USD,Medium,FOMC Member Fischer Speaks,,,
Wed Feb 24 2016,2:00am,CHF,Low,UBS Consumption Indicator,1.66,,1.61
,4:30am,GBP,Low,High Street Lending,47.5K,45.2K,43.7K
