Timestamp,Date,Reverse_Range,Range,Reverse
2019-01-02 06:20,Wed,13,44,True
2019-01-02 23:53,Wed,27,176,False
2019-01-04 01:03,Fri,24,59,False
2019-01-04 14:46,Fri,40,66,True
2019-01-10 03:37,Thu,42,104,False
2019-01-13 21:21,Sun,26,81,False
2019-01-15 18:21,Tue,24,58,False
2019-01-16 11:49,Wed,10,42,True
2019-01-18 16:24,Fri,24,56,True
2019-01-24 08:21,Thu,10,42,True
2019-01-24 14:56,Thu,31,63,True
2019-01-24 19:14,Thu,24,59,False
2019-01-28 04:28,Mon,17,85,False
2019-01-31 07:29,Thu,34,100,False
2019-02-01 05:42,Fri,23,53,True
2019-02-13 03:41,Wed,21,54,False
2019-02-15 13:32,Fri,12,44,True
2019-02-15 18:54,Fri,12,43,True
2019-02-19 16:09,Tue,9,52,False
2019-03-01 19:15,Fri,9,41,True
2019-03-04 08:42,Mon,11,43,True
2019-03-07 19:50,Thu,25,126,False
2019-03-20 19:02,Wed,33,99,False
2019-03-22 15:01,Fri,32,100,False
2019-04-09 13:03,Tue,20,62,False
2019-04-10 17:16,Wed,13,43,True
2019-04-23 14:33,Tue,19,63,False
2019-04-24 18:57,Wed,17,63,False
2019-04-30 03:26,Tue,12,45,False
2019-05-03 11:14,Fri,36,117,False
2019-05-09 14:26,Thu,29,59,True
2019-05-15 14:29,Wed,10,42,True
2019-05-16 14:14,Thu,11,42,True
2019-05-27 03:49,Mon,37,98,False
2019-06-03 19:08,Mon,17,63,False
2019-06-05 12:25,Wed,19,49,True
2019-06-05 20:52,Wed,22,50,True
2019-06-06 12:52,Thu,25,48,True
2019-06-07 14:50,Fri,34,87,False
2019-06-14 17:02,Fri,10,42,True
2019-06-19 18:05,Wed,12,43,True
2019-06-20 08:00,Thu,17,73,False
2019-06-21 19:28,Fri,11,55,False
2019-07-02 02:40,Tue,38,61,True
2019-07-10 12:54,Wed,9,41,True
2019-07-18 22:16,Thu,33,60,True
2019-07-19 12:44,Fri,14,46,True
2019-07-25 13:55,Thu,36,75,False
2019-08-01 00:54,Thu,10,42,True
2019-08-05 12:17,Mon,10,42,True
2019-08-06 00:46,Tue,23,53,True
2019-08-07 13:55,Wed,16,48,True
2019-08-12 08:09,Mon,17,49,True
2019-08-13 13:56,Tue,15,43,True
2019-08-14 14:47,Wed,9,41,True
2019-08-15 15:45,Thu,16,49,False
2019-08-25 22:34,Sun,28,90,False
2019-08-30 17:45,Fri,20,78,False
2019-09-03 02:47,Tue,16,44,True
2019-09-11 14:35,Wed,25,68,False
2019-09-12 12:47,Thu,26,80,False
2019-09-12 14:40,Thu,37,92,False
2019-09-12 17:13,Thu,19,57,False
2019-09-13 07:15,Fri,19,50,True
2019-09-17 06:53,Tue,32,76,False
2019-09-17 23:50,Tue,12,53,False
2019-09-23 07:43,Mon,17,49,True
2019-09-25 18:49,Wed,16,51,False
2019-09-30 12:14,Mon,21,52,True
2019-10-03 14:04,Thu,10,41,True
2019-10-08 18:36,Tue,17,51,False
2019-10-10 09:57,Thu,16,48,True
2019-10-11 11:31,Fri,18,50,True
2019-10-16 16:45,Wed,10,42,True
2019-10-17 09:39,Thu,27,58,True
2019-11-04 07:20,Mon,45,82,False
2019-11-07 17:45,Thu,13,45,True
2019-11-22 19:47,Fri,13,45,True
2019-12-04 14:00,Wed,38,97,False
2019-12-12 22:44,Thu,37,69,True
2019-12-27 15:49,Fri,15,84,False
