Timestamp,Date,Reverse_Range,Range,Status
2019-01-02 22:58,Wed,14,80,Success
2019-01-25 02:30,Fri,8,75,Success
2019-01-25 02:37,Fri,0,78,Fail
2019-01-25 16:51,Fri,0,77,Fail
2019-01-25 17:56,Sat,0,77,Fail
2019-01-31 00:05,Thu,0,79,Fail
2019-03-08 00:33,Thu,18,85,Success
2019-03-22 15:56,Fri,12,78,Success
2019-05-23 20:52,Fri,0,77,Fail
2019-05-24 13:50,Fri,10,77,Success
2019-06-04 00:59,Tue,7,74,Success
2019-06-06 13:32,Thu,0,81,Fail
2019-08-30 08:34,Sat,0,78,Fail
2019-09-12 20:00,Thu,0,78,Fail
2019-09-16 21:22,Mon,10,77,Success
2019-10-31 16:45,Thu,11,77,Success
2019-11-14 23:16,Mon,0,77,Fail
2019-12-26 20:10,Fri,0,77,Fail
2019-12-27 22:55,Fri,10,74,Success
