Time,Currency,Impact,Event,Actual,Forecast,Previous,EffectDay,Effect60,Effect30,Effect15
2017-01-02 14:15:00,EUR,Medium,Spanish Manufacturing PMI,55.3,54.6,54.5,0.0,0.0,0.0,
2017-01-02 14:45:00,EUR,Low,Italian Manufacturing PMI,53.2,52.3,52.2,0.0,0.0,0.0,
2017-01-02 14:50:00,EUR,Low,French Final Manufacturing PMI,53.5,53.5,53.5,0.0,0.0,0.0,
2017-01-02 14:55:00,EUR,Low,German Final Manufacturing PMI,55.6,55.5,55.5,0.0,0.0,0.0,
2017-01-02 15:00:00,EUR,Low,Final Manufacturing PMI,54.9,54.9,54.9,0.0,0.0,0.0,
2017-01-03 23:33:00,EUR,Medium,German Prelim CPI m/m,0.7%,0.6%,0.1%,-150.0,23.0,23.0,
2017-01-03 13:45:00,EUR,Low,French Prelim CPI m/m,0.3%,0.5%,0.0%,-150.0,-35.0,-29.0,
2017-01-03 14:55:00,EUR,Medium,German Unemployment Change,-17K,-5K,-6K,-150.0,-45.0,-37.0,
2017-01-03 20:45:00,USD,Low,Final Manufacturing PMI,54.3,54.2,54.2,-150.0,14.0,7.0,
2017-01-03 21:00:00,USD,High,ISM Manufacturing PMI,54.7,53.7,53.2,-150.0,23.0,-11.0,
2017-01-03 21:00:00,USD,Low,Construction Spending m/m,0.9%,0.5%,0.6%,-150.0,23.0,-11.0,
2017-01-03 21:00:00,USD,Low,ISM Manufacturing Prices,65.5,55.6,54.5,-150.0,23.0,-11.0,
2017-01-04 14:00:00,EUR,Medium,Spanish Unemployment Change,-86.8K,-44.2K,24.8K,102.0,16.0,13.0,
2017-01-04 14:15:00,EUR,Low,Spanish Services PMI,55.0,54.8,55.1,102.0,33.0,14.0,
2017-01-04 14:45:00,EUR,Low,Italian Services PMI,52.3,52.7,53.3,102.0,27.0,27.0,
2017-01-04 14:50:00,EUR,Low,French Final Services PMI,52.9,52.6,52.6,102.0,27.0,27.0,
2017-01-04 14:55:00,EUR,Low,German Final Services PMI,54.3,53.8,53.8,102.0,27.0,27.0,
2017-01-04 15:00:00,EUR,Low,Final Services PMI,53.7,53.1,53.1,102.0,25.0,24.0,
2017-01-04 16:00:00,EUR,Medium,CPI Flash Estimate y/y,1.1%,1.0%,0.6%,102.0,17.0,16.0,
2017-01-04 16:00:00,EUR,Medium,Core CPI Flash Estimate y/y,0.9%,0.8%,0.8%,102.0,17.0,16.0,
2017-01-04 16:00:00,EUR,Low,Italian Prelim CPI m/m,0.4%,0.3%,-0.1%,102.0,17.0,16.0,
2017-01-04 16:00:00,USD,Low,Wards Total Vehicle Sales,18.3M,17.7M,17.6M,102.0,17.0,16.0,
2017-01-04 16:00:00,USD,Low,Total Vehicle Sales,18.4M,17.8M,17.9M,102.0,17.0,16.0,
2017-01-05 16:00:00,EUR,Low,PPI m/m,0.3%,0.2%,0.8%,163.0,-22.0,-20.0,
2017-01-05 19:15:00,USD,High,ADP Non-Farm Employment Change,153K,171K,215K,163.0,25.0,19.0,
2017-01-05 19:30:00,USD,High,Unemployment Claims,235K,262K,263K,163.0,-30.0,-18.0,
2017-01-05 20:45:00,USD,Low,Final Services PMI,53.9,53.4,53.4,163.0,-26.0,-18.0,
2017-01-05 21:00:00,USD,High,ISM Services PMI,57.2,56.6,57.2,163.0,23.0,21.0,
2017-01-05 21:30:00,USD,Low,Natural Gas Storage,-49B,-97B,-237B,163.0,47.0,16.0,
2017-01-05 22:00:00,USD,High,Crude Oil Inventories,-7.1M,-1.8M,0.6M,163.0,73.0,45.0,
2017-01-06 13:00:00,EUR,Medium,German Factory Orders m/m,-2.5%,-2.5%,5.0%,-86.0,-13.0,8.0,
2017-01-06 13:00:00,EUR,Medium,German Retail Sales m/m,-1.8%,-0.8%,2.5%,-86.0,-13.0,8.0,
2017-01-06 13:45:00,EUR,Low,French Trade Balance,-4.4B,-4.8B,-5.2B,-86.0,16.0,-9.0,
2017-01-06 16:00:00,EUR,Low,Retail Sales m/m,-0.4%,-0.3%,1.4%,-86.0,21.0,-13.0,
2017-01-06 19:30:00,USD,High,Average Hourly Earnings m/m,0.4%,0.3%,-0.1%,-86.0,22.0,9.0,
2017-01-06 19:30:00,USD,High,Non-Farm Employment Change,156K,175K,204K,-86.0,22.0,9.0,
2017-01-06 19:30:00,USD,High,Unemployment Rate,4.7%,4.7%,4.6%,-86.0,22.0,9.0,
2017-01-06 19:30:00,USD,Medium,Trade Balance,-45.2B,-42.2B,-42.4B,-86.0,22.0,9.0,
